GR,SP,AC,DEN,CNL,K,—“–‘£®œ‡£©
151.284,209.523,237.557,2.663,19.238,4.227,
147.73,209.898,234.113,2.656,18.758,4.238,
143.672,210.432,235.352,2.649,18.214,4.275,
140.908,211.074,240.613,2.642,17.888,4.283,
141.527,211.777,246.535,2.636,18.104,4.233,
143.253,212.505,250.836,2.632,19.168,4.182,
142.422,213.215,248.97,2.628,20.648,4.113,
136.066,213.875,240.173,2.626,20.453,3.888,
124.742,214.443,228.191,2.628,15.47,3.394,
110.319,214.896,214.685,2.636,8.81,2.714,
97.606,215.211,204.123,2.642,4.691,2.233,
91.949,215.356,201.651,2.644,3.012,2.06,
98.856,215.346,209.339,2.643,2.74,2.171,
114.962,215.175,219.636,2.643,3.454,2.551,
133.5,214.859,226.258,2.646,5.338,3.141,
146.38,214.448,230.152,2.651,9.028,3.618,
152.846,214.004,233.815,2.659,15.064,3.835,
155.76,213.617,233.645,2.667,21.089,3.923,
157.423,213.354,230.693,2.676,23.115,3.989,
157.252,213.28,230.202,2.684,21.956,3.978,
155.002,213.364,231.103,2.691,20.282,3.855,
152.39,213.525,230.056,2.695,18.734,3.708,
149.9,213.617,229.036,2.693,17.361,3.607,
145.173,213.522,229.676,2.681,16.415,3.473,
134.274,213.165,228.738,2.662,15.727,3.124,
116.217,212.53,223.893,2.639,14.386,3.098,
94.185,211.727,215.101,2.624,11.668,1.808,
75.984,210.892,202.497,2.62,8.125,1.264,
66.268,210.198,187.771,2.627,5.145,0.985,
63.847,209.744,175.839,2.638,3.588,0.897,
63.003,209.614,170.61,2.644,3.358,0.859,
61.32,209.767,171.644,2.643,3.878,0.822,
59.774,210.108,176.141,2.641,4.527,0.803,
61.557,210.489,182.145,2.646,4.942,0.854,
70.74,210.745,193.126,2.655,5.179,1.136,
87.991,210.774,214.063,2.657,5.841,1.806,
109.681,210.512,241.276,2.634,7.914,2.74,
128.641,210.033,265.333,2.594,12.524,3.514,
138.385,209.418,279.194,2.567,20.664,3.81,
136.318,208.793,279.021,2.567,30.757,3.603,
122.901,208.252,261.567,2.584,32.233,3.11,
105.609,207.858,232.133,2.618,21.068,2.563,
91.352,207.606,206.318,2.659,10.987,2.198,
86.342,207.436,193.979,2.67,5.844,2.113,
91.843,207.265,199.965,2.633,4.445,2.189,
106.553,207.014,221.98,2.565,5.683,2.435,
123.775,206.636,247.44,2.444,8.942,2.744,
137.563,206.094,259.431,2.302,14.631,2.921,
143.462,205.435,259.927,2.193,22.372,2.943,
141.016,204.705,250.575,2.158,28.674,2.889,
132.506,203.944,232.913,2.2,26.577,2.806,
123.4,203.155,220.592,2.305,19.007,2.754,
120.429,202.302,223.589,2.443,12.423,2.796,
124.548,201.322,230.091,2.55,9.717,2.936,
128.992,200.169,235.056,2.594,9.937,3.04,
126.682,198.786,235.286,2.595,12.372,2.821,
115.31,197.207,228.402,2.6,15.552,2.233,
98.19,195.514,215.095,2.622,16.511,1.59,
80.774,193.821,198.517,2.65,13.215,1.234,
66.792,192.234,183.525,2.67,8.494,1.126,
57.937,190.825,174.147,2.677,5.327,1.081,
53.524,189.655,171.924,2.678,4.182,1.032,
51.936,188.702,177.743,2.681,3.974,0.978,
51.308,187.959,188.172,2.683,3.907,0.93,
51.533,187.406,195.223,2.681,3.68,0.892,
53.515,186.996,196.051,2.67,3.512,0.872,
57.037,186.695,190.534,2.651,3.611,0.874,
61.969,186.438,182.905,2.632,3.895,0.913,
70.199,186.174,177.007,2.621,4.064,1.073,
84.5,185.873,176.348,2.619,4.007,1.489,
106.539,185.525,181.478,2.623,4.106,2.193,
131.755,185.132,192.451,2.629,5.074,2.992,
153.283,184.705,208.917,2.637,7.845,3.647,
165.979,184.271,228.759,2.648,13.378,4.017,
171.235,183.836,246.096,2.661,21.838,4.194,
172.042,183.388,255.677,2.677,30.115,4.289,
171.088,182.902,256.721,2.694,31.147,4.387,
169.854,182.335,251.164,2.708,27.244,4.499,
167.412,181.619,245.308,2.711,24.206,4.583,
161.131,180.725,241.12,2.702,22.789,4.557,
149.242,179.629,236.259,2.689,21.89,4.31,
131.242,178.372,229.899,2.682,19.377,3.746,
112.105,177.007,220.857,2.681,14.774,3.082,
99.377,175.58,206.779,2.676,9.741,2.617,
98.209,174.149,192.924,2.666,6.413,2.439,
102.866,172.751,187.758,2.655,5.178,2.349,
103.858,171.445,188.059,2.65,5.889,2.262,
96.011,170.29,186.762,2.65,7.578,2.114,
84.545,169.367,184.483,2.652,8.874,1.851,
76.301,168.747,183.883,2.652,8.154,1.597,
