GR,SP,AC,DEN,CNL,K,Core Lithology
176.91,-6.67,247.542,2.725,22.023,5.458,0
180.552,-5.982,247.998,2.731,22.263,5.487,0
180.169,-5.428,246.9,2.736,22.368,5.486,0
169.066,-5.079,243.283,2.734,22.489,5.335,0
144.739,-4.952,237.275,2.72,22.115,4.866,0
113.39,-4.958,229.364,2.694,19.616,4.056,0
86.914,-4.994,221.013,2.661,14.538,3.128,0
72,-4.928,213.669,2.626,8.447,2.295,0
66.843,-4.634,208.433,2.596,3.867,1.806,0
66.196,-4.063,205.58,2.573,1.247,1.677,0
67.734,-3.322,204.676,2.561,0.264,1.664,0
71.286,-2.64,205.08,2.564,0.243,1.629,0
77.442,-2.177,205.857,2.579,0.889,1.609,0
85.626,-1.942,206.568,2.599,2.302,1.634,0
93.119,-1.814,206.881,2.615,4.399,1.665,0
98.229,-1.777,206.74,2.626,6.728,1.699,0
101.085,-1.785,206.272,2.63,8.172,1.744,0
102.32,-1.829,205.681,2.63,8.533,1.77,0
100.979,-1.928,205.015,2.624,8.416,1.759,0
97.912,-2.188,204.205,2.616,8.131,1.729,0
96.284,-2.682,203.205,2.614,7.58,1.689,0
97.968,-3.341,202.068,2.618,6.976,1.633,0
100.105,-4.062,200.901,2.625,6.709,1.548,0
99.47,-4.755,199.861,2.632,6.715,1.402,0
96.428,-5.291,199.109,2.639,6.578,1.257,0
93.841,-5.51,198.83,2.644,5.985,1.187,0
92.256,-5.271,198.846,2.648,5.107,1.167,0
90.077,-4.649,198.918,2.651,4.384,1.141,0
87.191,-3.891,198.942,2.656,4.057,1.132,0
85.69,-3.177,198.956,2.658,4.04,1.157,0
86.475,-2.679,198.928,2.658,4.034,1.211,0
88.024,-2.521,198.796,2.657,3.939,1.296,0
89.398,-2.765,198.598,2.66,3.901,1.418,0
90.29,-3.176,198.407,2.665,4.075,1.55,0
90.675,-3.533,198.382,2.666,4.431,1.643,0
90.239,-3.74,198.727,2.664,4.871,1.698,0
90.293,-3.804,199.637,2.662,5.296,1.75,0
92.36,-3.61,200.983,2.661,5.784,1.792,0
95.2,-3.09,202.542,2.661,6.464,1.754,0
95.399,-2.432,203.84,2.658,7.242,1.635,0
92.413,-1.81,204.339,2.655,7.767,1.491,0
88.891,-1.374,203.738,2.649,7.494,1.394,0
86.698,-1.218,202.094,2.643,6.54,1.322,0
85.319,-1.519,199.835,2.638,5.277,1.245,0
84.053,-2.149,197.367,2.633,4.203,1.19,0
83.363,-2.765,195.333,2.626,3.509,1.147,0
84.698,-3.13,194.182,2.616,3.117,1.101,0
88.621,-3.263,194.229,2.606,2.863,1.125,0
94.56,-3.318,195.297,2.599,2.785,1.314,0
101.495,-3.387,197.098,2.594,3.095,1.535,0
107.449,-3.532,199.423,2.587,3.795,1.637,0
