GR,SP,AC,DEN,CNL,K,—“–‘£®œ‡£©
101.948,157.253,199.191,2.634,8.784,2.031,0
94.431,156.545,196.903,2.635,6.484,1.763,0
90.457,155.851,191.98,2.632,4.964,1.71,0
88.139,155.241,188.737,2.631,4.158,1.695,0
85.953,154.78,189.158,2.633,4.072,1.653,0
84.202,154.567,188.997,2.638,4.561,1.563,0
82.544,154.625,187.12,2.644,5.112,1.424,0
80.163,154.931,185.324,2.65,5.225,1.293,0
78.11,155.416,183.991,2.655,4.87,1.209,0
78.157,155.947,184.253,2.658,4.574,1.155,0
80.097,156.441,184.64,2.657,4.675,1.119,0
83.282,156.872,183.201,2.649,5.091,1.132,0
88.966,157.301,181.381,2.641,5.465,1.256,0
96.921,157.81,182.475,2.639,5.801,1.442,0
102.749,158.457,184.566,2.649,6.468,1.518,0
99.56,159.22,184.798,2.665,7.419,1.394,0
87.872,160.06,183.278,2.681,7.886,1.18,0
72.961,160.927,179.953,2.693,7.131,1.012,0
61.906,161.807,175.394,2.698,5.708,0.932,0
56.331,162.712,174.03,2.697,4.484,0.896,0
56.033,163.656,177.54,2.692,3.824,0.856,0
58.805,164.639,182.922,2.682,3.595,0.791,0
62.122,165.642,188.135,2.672,3.566,0.709,0
64.706,166.634,194.746,2.663,3.488,0.644,0
66.467,167.588,203.228,2.655,3.329,0.615,0
67.268,168.491,209.632,2.647,3.22,0.61,0
67.183,169.342,209.857,2.636,3.236,0.616,0
66.982,170.136,206.245,2.627,3.31,0.635,0
67.337,170.877,199.549,2.62,3.386,0.68,0
69.037,171.588,188.338,2.614,3.465,0.749,0
71.837,172.333,178.537,2.609,3.51,0.819,0
75.258,173.225,175.112,2.606,3.482,0.877,0
78.214,174.373,177.33,2.605,3.464,0.929,0
80.969,175.928,181.52,2.605,3.663,0.986,0
85.043,177.853,186.028,2.604,4.277,1.041,0
89.48,180.054,188.966,2.604,5.36,1.079,0
91.208,182.279,190.554,2.605,6.684,1.076,0
87.691,184.235,192.987,2.608,7.596,0.999,0
81.447,185.657,196.802,2.61,7.205,0.847,0
75.494,186.402,199.261,2.61,5.37,0.693,0
71.942,186.55,198.462,2.607,3.142,0.6,0
70.319,186.21,194.997,2.602,1.516,0.559,0
69.603,185.65,188.372,2.597,0.765,0.55,0
69.31,185.079,188.685,2.594,0.63,0.581,0
70.16,184.681,187.315,2.593,0.813,0.647,0
72.734,184.537,184.727,2.596,1.091,0.717,0
76.041,184.69,182.408,2.6,1.402,0.772,0
79.26,185.185,179.926,2.603,1.763,0.867,0
83.977,185.955,177.593,2.602,2.185,1.095,0
176.88,197.77,260.41,2.687,21.786,4.467,2
175.827,197.71,260.159,2.689,21.729,4.345,2
173.866,197.713,260.665,2.694,21.485,4.18,2
171.291,197.755,261.533,2.699,21.605,4.034,2
170.148,197.797,262.113,2.699,22.122,3.968,2
170.607,197.8,262.844,2.693,22.436,3.972,2
171.597,197.757,263.374,2.685,22.231,4.02,2
171.981,197.689,262.875,2.68,21.944,4.134,2
171.978,197.651,261.924,2.678,22.126,4.351,2
171.55,197.682,261.366,2.678,22.56,4.639,2
171.52,197.8,261.183,2.679,22.531,4.897,2
172.908,197.987,261.223,2.68,22.003,5.08,2
175.533,198.195,261.405,2.682,21.579,5.209,2
177.384,198.385,261.546,2.685,21.637,5.295,2
176.996,198.539,261.43,2.684,22.007,5.314,2
174.653,198.678,261.158,2.681,22.379,5.247,2
172.764,198.839,261.18,2.677,22.507,5.101,2
171.921,199.045,261.973,2.677,22.384,4.906,2
171.077,199.282,263.778,2.681,22.187,4.724,2
170.457,199.497,266.26,2.688,22.221,4.599,2
171.153,199.619,268.807,2.692,22.523,4.533,2
172.41,199.592,270.942,2.691,22.748,4.508,2
172.298,199.379,272.275,2.686,22.513,4.526,2
169.861,199.021,272.596,2.681,21.896,4.598,2
167.197,198.565,272.428,2.677,21.338,4.697,2
166.153,198.082,272.438,2.676,21.162,4.777,2
167.453,197.639,272.691,2.678,21.262,4.823,2
169.402,197.304,272.223,2.68,21.351,4.838,2
169.888,197.124,269.331,2.682,21.296,4.784,2
167.773,197.12,263.57,2.687,21.134,4.63,2
164.226,197.309,257.785,2.699,20.847,4.456,2
160.924,197.622,254.836,2.711,20.376,4.344,2
159.216,197.984,255.008,2.716,19.932,4.273,2
159.825,198.29,258.369,2.713,19.929,4.228,2
163.159,198.475,264.187,2.707,20.524,4.233,2
166.85,198.505,269.026,2.701,21.418,4.297,2
168.896,198.39,270.651,2.696,21.968,4.402,2
168.164,198.185,270.273,2.691,21.767,4.519,2
166.007,197.926,269.669,2.688,21.052,4.615,2
164.299,197.628,268.971,2.689,20.436,4.664,2
163.706,197.274,268.242,2.69,20.199,4.664,2
163.944,196.811,267.708,2.687,20.081,4.624,2
164.685,196.206,267.197,2.68,19.814,4.554,2
165.033,195.461,266.685,2.674,19.702,4.466,2
164.903,194.604,266.336,2.669,20.036,4.378,2
164.741,193.722,265.765,2.667,20.616,4.316,2
165.103,192.891,264.721,2.668,21.02,4.294,2
165.631,192.169,263.647,2.669,21.14,4.292,2
164.353,191.525,262.851,2.672,21.345,4.276,2
