Well Name,Depth,GR,AC,DEN
JY59-1HF,2912,102.691,188.272,2.572
JY59-1HF,2912.125,101.854,188.93,2.564
JY59-1HF,2912.25,99.751,189.26,2.54
JY59-1HF,2912.375,97.824,189.261,2.504
JY59-1HF,2912.5,96.601,189.077,2.465
JY59-1HF,2912.625,95.86,188.817,2.434
JY59-1HF,2912.75,95.032,188.522,2.426
JY59-1HF,2912.875,94.416,188.057,2.436
JY59-1HF,2913,94.413,187.317,2.459
JY59-1HF,2913.125,94.327,186.551,2.485
JY59-1HF,2913.25,93.907,185.969,2.505
JY59-1HF,2913.375,93.315,185.639,2.512
JY59-1HF,2913.5,93.193,185.413,2.514
JY59-1HF,2913.625,93.482,184.823,2.515
JY59-1HF,2913.75,93.661,184.104,2.515
JY59-1HF,2913.875,93.809,183.728,2.513
JY59-1HF,2914,93.904,183.973,2.507
JY59-1HF,2914.125,93.87,184.861,2.497
JY59-1HF,2914.25,93.583,185.898,2.487
JY59-1HF,2914.375,93.629,186.272,2.477
JY59-1HF,2914.5,93.932,186.089,2.467
JY59-1HF,2914.625,94.064,185.678,2.453
JY59-1HF,2914.75,93.807,185.421,2.427
JY59-1HF,2914.875,93.269,185.661,2.388
JY59-1HF,2915,92.459,186.398,2.344
JY59-1HF,2915.125,90.792,186.756,2.304
JY59-1HF,2915.25,88.236,186.324,2.28
JY59-1HF,2915.375,85.506,185.166,2.294
JY59-1HF,2915.5,83.583,183.69,2.364
JY59-1HF,2915.625,83.383,182.694,2.455
JY59-1HF,2915.75,84.705,182.897,2.538
JY59-1HF,2915.875,87.218,183.789,2.586
JY59-1HF,2916,90.654,184.83,2.586
JY59-1HF,2916.125,94.466,185.523,2.547
JY59-1HF,2916.25,97.897,185.513,2.501
JY59-1HF,2916.375,100.077,184.859,2.464
JY59-1HF,2916.5,100.901,184.275,2.441
JY59-1HF,2916.625,100.171,183.951,2.431
JY59-1HF,2916.75,98.29,183.839,2.427
JY59-1HF,2916.875,96.013,183.802,2.424
JY59-1HF,2917,94.376,183.682,2.424
JY59-1HF,2917.125,93.132,183.492,2.43
JY59-1HF,2917.25,92.132,183.484,2.441
JY59-1HF,2917.375,91.873,183.77,2.454
JY59-1HF,2917.5,92.424,184.346,2.461
JY59-1HF,2917.625,93.385,185.1,2.462
JY59-1HF,2917.75,93.438,185.747,2.459
JY59-1HF,2917.875,92.626,186.085,2.456
JY59-1HF,2918,91.641,186.262,2.455
JY59-1HF,2918.125,90.787,186.372,2.452
JY59-1HF,2918.25,90.169,186.442,2.444
JY59-1HF,2918.375,89.666,186.409,2.435
JY59-1HF,2918.5,89.6,186.059,2.429
JY59-1HF,2918.625,90.069,185.471,2.429
