Well Name,Depth,GR,AC,LLS,LLD,Facies
JY1,2328.75,158.065,249.654,29.542,32.602,2
JY1,2328.875,159.684,249.319,29.651,32.685,2
JY1,2329,162.541,248.831,28.727,31.654,2
JY1,2329.125,164.048,248.601,26.974,29.767,2
JY1,2329.25,164.565,248.978,25.375,28.088,2
JY1,2329.375,166.243,249.811,24.601,27.312,2
JY1,2329.5,168.884,250.231,25.017,27.791,2
JY1,2329.625,169.711,249.959,26.068,28.893,2
JY1,2329.75,167.949,249.916,26.81,29.581,2
JY1,2329.875,166.128,251.127,25.984,28.536,2
JY1,2330,167.316,253.521,23.323,25.537,2
JY1,2330.125,171.25,256.224,19.341,21.197,2
JY1,2330.25,175.569,258.08,15.355,16.958,2
JY1,2330.375,177.584,257.939,12.418,13.932,2
JY1,2330.5,176.305,255.191,11.262,12.89,2
JY1,2330.625,171.461,251.028,12.089,14.056,2
JY1,2330.75,165.113,247.519,15.048,17.593,2
JY1,2330.875,160.525,246.075,20.059,23.36,2
JY1,2331,159.954,246.597,25.21,29.146,2
JY1,2331.125,162.132,248.719,28.127,32.292,2
JY1,2331.25,164.869,251.619,27.223,31.104,2
JY1,2331.375,166.589,254.453,24.033,27.389,2
JY1,2331.5,167.075,256.388,20.332,23.142,2
JY1,2331.625,166.306,257.454,16.996,19.323,2
JY1,2331.75,164.795,258.192,13.806,15.714,2
JY1,2331.875,163.612,259.254,10.914,12.522,2
JY1,2332,164.165,260.737,9.019,10.521,2
JY1,2332.125,166.366,262.282,8.596,10.207,2
JY1,2332.25,168.227,263.295,10.034,12.003,2
JY1,2332.375,168.062,263.391,13.243,15.774,2
JY1,2332.5,166.701,262.475,17.338,20.475,2
JY1,2332.625,165.627,261.131,20.657,24.198,2
JY1,2332.75,165.107,260.078,22.115,25.762,2
JY1,2332.875,164.358,259.701,21.813,25.327,2
JY1,2333,163.834,259.625,20.549,23.839,2
JY1,2333.125,164.7,259.409,19.161,22.261,2
JY1,2333.25,166.522,258.825,18.206,21.232,2
JY1,2333.375,167.795,257.988,18.192,21.317,2
JY1,2333.5,167.555,257.077,19.35,22.741,2
JY1,2333.625,166.18,256.253,21.645,25.429,2
JY1,2333.75,163.982,255.617,24.29,28.463,2
JY1,2333.875,161.891,255.335,26.29,30.722,2
JY1,2334,160.389,255.765,27.057,31.562,2
JY1,2334.125,159.263,257.122,26.909,31.366,2
JY1,2334.25,158.526,259.192,26.271,30.625,2
JY1,2334.375,158.725,261.17,25.445,29.677,2
