Well Name,Depth,Facies,GR,AC,LLS,LLD
JY11-4,2251,1,153.283,208.917,36.85,33.82
JY11-4,2252.125,1,131.242,229.899,51.297,52.338
JY11-4,2252.25,1,112.105,220.857,79.479,79.705
JY11-4,2252.375,1,99.377,206.779,107.584,105.885
JY11-4,2252.5,1,98.209,192.924,123.158,119.664
JY11-4,2252.625,1,102.866,187.758,125.878,121.821
JY11-4,2252.75,1,103.858,188.059,128.512,125.379
JY11-4,2252.875,1,96.011,186.762,148.829,146.424
JY11-4,2253.5,1,91.981,184.692,164.723,155.965
JY11-4,2253.625,1,97.823,188.307,133.042,126.241
JY11-4,2253.75,1,101.556,190.935,113.819,108.741
JY11-4,2253.875,1,103.668,193.752,106.326,102.019
JY11-4,2254,1,103.168,194.265,103.094,98.776
JY11-4,2254.125,1,100.926,192.839,97.537,93.282
JY11-4,2254.25,1,99.986,194.152,92.361,88.525
JY11-4,2255,1,79.855,186.602,571.954,549.602
JY11-4,2255.125,1,79.181,182.998,675.917,637.093
JY11-4,2255.25,1,80.43,181.274,606.046,559.45
JY11-4,2255.375,1,85.225,182.225,408.841,368.926
JY11-4,2255.5,1,96.691,191.798,202.776,179.536
JY11-4,2255.625,1,115.082,208.854,87.763,78.103
JY11-4,2255.75,1,131.424,224.409,50.664,47.203
JY11-4,2255.875,1,136.17,231.133,50.002,48.66
JY11-4,2256,1,124.485,229.295,76.383,77.002
JY11-4,2256.125,1,105.093,217.858,162.653,164.935
JY11-4,2256.25,1,87.226,201.19,345.046,344.347
JY11-4,2256.375,1,77.1,187.589,554.175,544.039
JY11-4,2256.5,1,73.577,182.959,679.104,656.112
JY11-4,2256.625,1,75.087,183.193,632.424,601.458
JY11-4,2256.75,1,81.11,185.263,469.431,439.137
JY11-4,2256.875,1,91.729,188.139,283.422,260.793
JY11-4,2257,1,107.123,192.85,148.261,134.656
JY11-4,2257.125,1,124.002,202.108,72.351,65.811
JY11-4,2257.25,1,137.271,213.685,43.555,40.66
JY11-4,2257.375,1,142.172,220.088,35.054,33.706
JY11-4,2257.5,1,139.292,220.458,35.206,34.58
JY11-4,2257.625,1,132.202,219.655,42.007,41.791
JY11-4,2257.75,1,123.149,214.159,54.888,54.795
JY11-4,2257.875,1,112.639,204.316,75.74,75.646
JY11-4,2258,1,101.948,199.191,113.562,112.96
JY11-4,2258.125,1,94.431,196.903,166.444,164.104
JY11-4,2258.25,1,90.457,191.98,219.516,214.404
JY11-4,2258.375,1,88.139,188.737,253.164,245.919
JY11-4,2258.5,1,85.953,189.158,269.949,262.221
JY11-4,2258.625,1,84.202,188.997,288.069,281.156
JY11-4,2258.75,1,82.544,187.12,323.127,316.557
JY11-4,2258.875,1,80.163,185.324,366.696,359.343
JY11-4,2259,1,78.11,183.991,399.012,390.234
JY11-4,2259.125,1,78.157,184.253,407.95,397.838
JY11-4,2259.25,1,80.097,184.64,387.717,376.381
JY11-4,2259.375,1,83.282,183.201,329.747,318.015
JY11-4,2259.5,1,88.966,181.381,248.499,238.254
JY11-4,2259.625,1,96.921,182.475,170.091,163.398
JY11-4,2259.75,1,102.749,184.566,126.771,124.001
JY11-4,2259.875,1,99.56,184.798,125.637,126.248
JY11-4,2260,1,87.872,183.278,184.791,188.844
JY11-4,2260.125,1,72.961,179.953,326.5,332.73
JY11-4,2260.25,1,61.906,175.394,522.517,527.719
JY11-4,2260.375,1,56.331,174.03,701.685,703.631
JY11-4,2260.5,1,56.033,177.54,804.021,805.389
JY11-4,2260.625,1,58.805,182.922,835.138,841.038
JY11-4,2260.75,1,62.122,188.135,830.346,844.256
