Well Name,Depth,GR,AC,DEN,CNL
JY2,2442.125,77.521,60.901,2.758,12.824
JY2,2443.375,144.517,84.396,2.551,24.04
JY2,2451.25,142.95,79.146,2.503,21.302
JY2,2451.375,151.706,78.931,2.581,21.288
JY2,2451.5,158.591,77.919,2.657,21.049
JY2,2451.625,161.427,76.706,2.713,20.775
JY2,2451.75,160.728,76.238,2.744,20.53
JY2,2451.875,159.107,76.424,2.758,20.123
JY2,2452,158.448,76.827,2.758,19.589
JY2,2452.125,158.573,77.365,2.747,19.362
JY2,2452.25,158.647,77.961,2.735,19.643
JY2,2452.375,158.697,78.394,2.724,20.082
JY2,2452.5,158.984,78.646,2.718,20.217
JY2,2452.625,159.349,78.863,2.713,20.085
JY2,2452.75,159.587,78.915,2.707,19.93
JY2,2452.875,159.533,78.676,2.699,19.809
JY2,2453,158.984,78.529,2.69,19.765
JY2,2453.125,158.473,78.802,2.684,19.85
JY2,2453.25,159.409,79.211,2.681,20.156
JY2,2453.375,163.293,79.639,2.683,20.733
JY2,2453.5,169.962,80.343,2.687,21.483
JY2,2453.625,176.63,81.261,2.69,22.113
JY2,2453.75,180.097,82.106,2.688,22.193
JY2,2453.875,179.536,82.716,2.684,21.788
JY2,2454,176.748,83.072,2.681,21.297
JY2,2454.125,174.399,83.139,2.686,20.92
JY2,2454.25,173.559,82.929,2.697,20.574
JY2,2454.375,173.706,82.578,2.71,20.114
JY2,2455,164.295,75.473,2.724,19.882
JY2,2455.125,162.486,75.001,2.72,19.691
JY2,2455.25,163.191,75.596,2.716,19.646
JY2,2455.375,165.231,77.122,2.712,19.99
JY2,2455.5,166.658,78.515,2.711,20.56
JY2,2455.625,167.007,78.543,2.717,20.829
JY2,2455.875,165.322,75.322,2.747,19.57
JY2,2456.125,161.404,73.551,2.759,18.975
JY2,2456.25,162.338,74.183,2.743,19.502
JY2,2456.375,166.522,75.701,2.722,19.994
JY2,2456.5,172.873,77.52,2.706,20.134
JY2,2456.625,179.22,78.768,2.7,20.001
JY2,2456.75,183.777,79.294,2.699,19.872
JY2,2456.875,185.317,79.423,2.699,20.082
JY2,2457,183.553,79.364,2.701,20.8
JY2,2457.125,179.159,79.237,2.706,21.824
JY2,2457.25,173.597,79.132,2.71,22.74
JY2,2458.625,167.468,79.136,2.737,21.865
JY2,2458.75,166.449,79.345,2.733,21.685
JY2,2458.875,165.981,79.523,2.724,21.805
JY2,2459,166.921,79.812,2.71,22.048
JY2,2459.125,169.143,79.992,2.696,22.188
JY2,2459.25,171.836,79.89,2.688,22.13
JY2,2459.375,173.409,79.628,2.685,21.955
JY2,2459.5,173.131,79.228,2.683,21.801
JY2,2459.625,171.966,78.714,2.681,21.818
JY2,2459.75,171.661,78.48,2.682,21.885
JY2,2459.875,172.182,78.701,2.688,21.702
JY2,2460,172.662,79.205,2.698,21.26
JY2,2460.125,173.202,79.742,2.706,20.993
JY2,2460.25,174.506,80.155,2.711,21.193
JY2,2460.5,177.312,80.468,2.717,22.633
JY2,2460.75,176.143,80.084,2.704,22.751
JY2,2460.875,176.568,79.783,2.693,22.476
JY2,2461,178.38,79.63,2.685,22.201
JY2,2461.125,180.584,79.454,2.681,21.75
