Well Name,Depth,GR,AC,DEN,CNL,Facies
JY36-4HF,3088,182.833,200.617,2.711,20.129,2
JY36-4HF,3088.125,182.514,204.386,2.712,20.5,2
JY36-4HF,3088.25,182.588,207.998,2.711,20.736,2
JY36-4HF,3088.375,182.952,210.752,2.708,20.407,2
JY36-4HF,3088.5,182.784,212.374,2.704,19.629,2
JY36-4HF,3088.625,182.002,212.809,2.701,19.03,2
JY36-4HF,3088.75,181.188,212.219,2.7,19.019,2
JY36-4HF,3088.875,180.289,211.008,2.699,19.261,2
JY36-4HF,3089,178.882,209.549,2.701,19.258,2
JY36-4HF,3089.125,177.697,208.042,2.706,19.011,2
JY36-4HF,3089.25,177.741,206.509,2.71,18.935,2
JY36-4HF,3089.375,178.71,204.98,2.712,19.253,2
JY36-4HF,3089.5,179.499,203.464,2.713,19.689,2
JY36-4HF,3089.625,179.906,201.994,2.713,19.804,2
JY36-4HF,3089.75,180.87,200.773,2.713,19.582,2
JY36-4HF,3089.875,182.387,200.017,2.713,19.377,2
JY36-4HF,3090,183.259,199.809,2.712,19.506,2
JY36-4HF,3090.125,182.963,200.045,2.711,20.012,2
JY36-4HF,3090.25,182.286,200.553,2.707,20.768,2
JY36-4HF,3090.375,181.592,201.132,2.7,21.451,2
JY36-4HF,3090.5,180.308,201.668,2.693,21.633,2
JY36-4HF,3090.625,178.441,202.2,2.691,21.197,2
JY36-4HF,3090.75,176.933,202.781,2.693,20.708,2
JY36-4HF,3090.875,176.255,203.378,2.698,20.629,2
JY36-4HF,3091,175.725,203.948,2.701,20.886,2
JY36-4HF,3091.125,174.652,204.452,2.702,21.053,2
JY36-4HF,3091.25,173.704,204.838,2.703,20.912,2
JY36-4HF,3091.375,173.615,205.117,2.704,20.566,2
JY36-4HF,3091.5,174.122,205.409,2.706,20.168,2
JY36-4HF,3091.625,174.284,205.748,2.707,19.896,2
JY36-4HF,3091.75,173.919,206.061,2.708,19.931,2
JY36-4HF,3091.875,174.172,206.213,2.709,20.213,2
JY36-4HF,3092,175.91,206.087,2.71,20.582,2
JY36-4HF,3092.125,178.899,205.646,2.708,20.924,2
JY36-4HF,3092.25,181.843,205.109,2.703,21.295,2
JY36-4HF,3092.375,182.709,204.772,2.7,21.801,2
JY36-4HF,3092.5,180.338,204.856,2.701,22.234,2
JY36-4HF,3092.625,176.774,205.356,2.705,22.276,2
JY36-4HF,3092.75,174.577,206.149,2.706,21.886,2
JY36-4HF,3092.875,175.607,206.982,2.708,21.58,2
JY36-4HF,3093,179.237,207.679,2.711,21.644,2
JY36-4HF,3093.125,184.039,208.155,2.715,21.684,2
JY36-4HF,3093.25,188.206,208.496,2.717,21.446,2
JY36-4HF,3093.375,190.415,208.797,2.715,21.216,2
JY36-4HF,3093.5,190.443,208.801,2.715,21.213,2
JY36-4HF,3093.625,188.397,209.286,2.713,21.596,2
JY36-4HF,3093.75,186.265,209.399,2.715,21.581,2
JY36-4HF,3093.875,184.705,209.377,2.717,21.175,2
JY36-4HF,3094,183.2,209.192,2.717,20.639,2
JY36-4HF,3094.125,181.166,208.874,2.715,20.262,2
JY36-4HF,3094.25,179.325,208.58,2.711,20.239,2
JY36-4HF,3094.375,179.525,208.474,2.708,20.474,2
JY36-4HF,3094.5,181.924,208.633,2.706,20.706,2
JY36-4HF,3094.625,184.411,209.053,2.705,20.919,2
JY36-4HF,3094.75,184.747,209.68,2.7,21.216,2
JY36-4HF,3094.875,182.857,210.323,2.692,21.625,2
JY36-4HF,3095,180.867,210.695,2.683,21.923,2
JY36-4HF,3095.125,180.725,210.665,2.675,21.871,2
JY36-4HF,3095.25,182.694,210.252,2.671,21.687,2
JY36-4HF,3095.375,185.216,209.611,2.671,21.63,2
JY36-4HF,3095.5,186.579,208.871,2.678,21.757,2
JY36-4HF,3095.625,186.47,208.236,2.689,21.917,2
JY36-4HF,3095.75,185.892,207.861,2.698,22.395,2
JY36-4HF,3095.875,185.919,207.697,2.703,23.199,2
JY36-4HF,3096,186.884,207.592,2.704,22.859,2
JY36-4HF,3096.125,188.003,207.466,2.703,20.767,2
JY36-4HF,3096.25,188.741,207.198,2.704,18.933,2
JY36-4HF,3096.375,188.952,206.695,2.707,19.097,2
JY36-4HF,3096.5,188.473,206.027,2.71,20.721,2
JY36-4HF,3096.625,186.808,205.301,2.71,22.093,2
