Well Name,Depth,GR,DEN,AC,CNL,Facies
JY37-4HF,2976.579,151.9,2.649,218.656,11.755,2
JY37-4HF,2976.704,170.941,2.682,224.223,15.944,2
JY37-4HF,2976.829,188.173,2.709,229.985,19.662,2
JY37-4HF,2976.954,201.75,2.727,235.21,22.549,2
JY37-4HF,2977.454,204.354,2.73,237.168,22.948,2
JY37-4HF,2977.579,198.611,2.72,234.041,20.479,2
JY37-4HF,2977.704,194.472,2.71,231.46,18.134,2
JY37-4HF,2977.829,192.229,2.705,230.246,16.546,2
JY37-4HF,2977.954,191.09,2.704,230.637,15.839,2
JY37-4HF,2978.079,190.651,2.705,232.062,15.831,2
JY37-4HF,2978.204,190.777,2.708,234.148,16.423,2
JY37-4HF,2978.329,188.762,2.708,235.999,17.161,2
JY37-4HF,2978.454,180.657,2.703,236.641,16.946,2
JY37-4HF,2978.579,165.518,2.686,235.758,14.518,2
JY37-4HF,2978.704,148.897,2.664,233.697,11.111,2
JY37-4HF,2993.579,163.147,2.623,214.234,7.313,2
JY37-4HF,2993.704,179.598,2.64,221.59,11.743,2
JY37-4HF,2993.829,195.605,2.657,229.869,18.181,2
JY37-4HF,2994.579,205.414,2.703,241.286,22.205,2
JY37-4HF,2994.704,204.747,2.7,240.058,21.608,2
JY37-4HF,2994.829,205.833,2.696,239.875,21.79,2
JY37-4HF,2994.954,206.878,2.691,239.903,21.782,2
JY37-4HF,2995.079,205.893,2.686,239.952,21.452,2
JY37-4HF,2995.204,202.839,2.68,239.892,21.08,2
JY37-4HF,2995.329,199.471,2.67,239.617,20.794,2
JY37-4HF,2995.454,197.487,2.66,239.179,20.682,2
JY37-4HF,2995.579,197.291,2.654,238.722,20.76,2
JY37-4HF,2995.704,198.116,2.654,238.333,20.897,2
JY37-4HF,2995.829,198.47,2.658,237.929,20.899,2
JY37-4HF,2995.954,197.693,2.665,237.297,20.638,2
JY37-4HF,2996.079,196.156,2.672,236.236,20.135,2
JY37-4HF,2996.204,194.618,2.678,234.767,19.591,2
JY37-4HF,2996.329,193.606,2.682,233.187,19.279,2
JY37-4HF,2996.454,193.349,2.686,231.943,19.364,2
