Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS,LLD,K
JY11-4,2265.125,2,157.848,220.712,2.722,21.219,30.697,29.044,4
JY11-4,2265.25,2,158.666,218.015,2.726,18.188,31.616,29.746,3.978
JY11-4,2265.375,2,159.859,217.003,2.72,17.333,31.655,29.659,3.978
JY11-4,2265.75,2,159.856,221.967,2.693,18.24,29.806,27.764,4.108
JY11-4,2265.875,2,159.99,225.382,2.688,18.15,29.171,27.161,4.111
JY11-4,2266,2,159.624,228.794,2.684,18.281,28.597,26.623,4.081
JY11-4,2266.75,2,159.481,230.419,2.706,20.186,28.019,26.066,4.108
JY11-4,2266.875,2,158.711,227.974,2.706,19.641,28.741,26.704,4.102
JY11-4,2267,2,157.415,225.114,2.701,18.85,29.485,27.331,4.072
JY11-4,2267.625,2,154.93,232.759,2.683,19.231,27.553,25.394,4.015
JY11-4,2267.75,2,158.615,235.14,2.681,19.914,27.249,25.164,4.003
JY11-4,2267.875,2,162.738,235.912,2.683,19.995,27.33,25.24,3.982
JY11-4,2269.75,2,159.951,234.672,2.686,19.749,23.869,23.906,4.596
JY11-4,2269.875,2,162.662,234.889,2.69,19.523,23.192,23.647,4.515
JY11-4,2270.75,2,164.481,234.086,2.671,20.6,23.561,25.479,4.497
JY11-4,2270.875,2,162.038,234.211,2.669,20.317,23.161,25.085,4.423
JY11-4,2271,2,159.34,234.814,2.67,20.209,22.109,24.027,4.389
JY11-4,2271.625,2,162.575,241.822,2.697,20.586,20.863,23.471,4.442
JY11-4,2271.75,2,162.644,243.424,2.695,21.108,22.25,25.018,4.49
JY11-4,2271.875,2,163.555,244.89,2.693,21.255,23.209,26.017,4.47
JY11-4,2272.5,2,164.061,251.363,2.696,22.318,22.247,24.652,4.456
JY11-4,2272.625,2,162.007,249.104,2.708,22.32,22.248,24.606,4.565
JY11-4,2272.75,2,162.149,246.529,2.722,21.224,22.396,24.712,4.687
JY11-4,2273.375,3,183.122,257.063,2.691,20.635,11.544,11.866,4.897
JY11-4,2273.5,3,181.825,258.377,2.685,20.416,7.518,7.848,4.823
JY11-4,2273.625,3,181.409,258.895,2.687,20.269,5.667,6.224,4.728
JY11-4,2273.75,3,180.309,259.695,2.689,20.595,5.582,6.438,4.637
JY11-4,2273.875,3,178.423,260.409,2.689,21.317,7.192,8.439,4.554
JY11-4,2274,3,176.88,260.41,2.687,21.786,10.501,12.146,4.467
JY11-4,2274.375,2,171.291,261.533,2.699,21.605,20.311,22.246,4.034
JY11-4,2274.5,2,170.148,262.113,2.699,22.122,21.864,23.669,3.968
JY11-4,2274.625,2,170.607,262.844,2.693,22.436,22.453,24.089,3.972
JY11-4,2275.625,2,177.384,261.546,2.685,21.637,5.475,6.139,5.295
JY11-4,2275.75,2,176.996,261.43,2.684,22.007,7.449,8.5,5.314
JY11-4,2275.875,2,174.653,261.158,2.681,22.379,11.381,12.833,5.247
JY11-4,2276.5,2,171.153,268.807,2.692,22.523,20.948,22.584,4.533
JY11-4,2276.625,2,172.41,270.942,2.691,22.748,21.114,22.777,4.508
JY11-4,2277.5,2,169.888,269.331,2.682,21.296,22.444,24.406,4.784
JY11-4,2277.75,2,164.226,257.785,2.699,20.847,22.75,24.646,4.456
JY11-4,2278.625,2,168.164,270.273,2.691,21.767,21.169,23.436,4.519
JY11-4,2278.75,2,166.007,269.669,2.688,21.052,21.481,23.804,4.615
JY11-4,2279.75,2,165.103,264.721,2.668,21.02,17.703,19.697,4.294
JY11-4,2279.875,2,165.631,263.647,2.669,21.14,19.186,21.188,4.292
JY11-4,2280,2,164.353,262.851,2.672,21.345,19.967,21.817,4.276
JY11-4,2281,2,170.103,265.786,2.668,19.88,20.51,21.945,3.992
JY11-4,2281.125,2,172.508,267.673,2.665,20.295,18.11,19.192,3.969
JY11-4,2281.25,2,175.654,269.241,2.659,20.804,14.877,15.799,3.922
JY11-4,2283.625,1,197.481,252.389,2.653,16.906,20.475,20.997,4.378
JY11-4,2283.75,1,197.213,251.26,2.647,16.901,18.249,18.643,4.409
JY11-4,2283.875,1,196.836,251.889,2.642,16.741,15.757,16.086,4.429
JY11-4,2285.5,3,151.744,257.208,2.475,19.852,18.787,20.07,3.27
JY11-4,2285.625,3,149.637,234.968,2.537,15.582,29.145,31.02,3.245
JY11-4,2285.75,3,148.424,227.431,2.583,13.348,43.078,45.572,3.247
JY11-4,2285.875,3,146.667,226.966,2.601,12.961,55.773,58.799,3.274
JY11-4,2286,3,143.487,222.629,2.604,13.108,65.864,69.384,3.314
JY11-4,2286.125,3,137.622,213.431,2.609,13.097,76,80.156,3.313
JY11-4,2286.25,3,127.198,203.654,2.627,12.414,89.932,95.019,3.175
JY11-4,2286.375,3,113.507,194.178,2.653,11.038,109.409,115.739,2.924
JY11-4,2286.5,3,99.762,186.974,2.677,9.485,133.017,140.338,2.738
JY11-4,2286.625,3,91.232,186.189,2.689,8.566,152.131,159.453,2.687
JY11-4,2286.75,3,89.517,193.297,2.688,8.537,155.964,162.103,2.684
JY11-4,2290.5,2,230.905,267.009,2.616,18.577,33.018,34.107,3.892
JY11-4,2290.75,1,226.221,259.268,2.604,17.179,33.315,34.364,3.744
JY11-4,2304.75,1,156.749,245.55,2.619,13.992,51.034,52.986,3.665
JY11-4,2304.875,1,159.43,245.025,2.619,13.721,51.394,53.416,3.643
JY11-4,2305,1,161.593,243.657,2.623,13.681,52.022,54.177,3.632
JY11-4,2309.25,1,162.393,247.679,2.607,14.056,50.937,54.186,3.746
JY11-4,2311,2,170.755,241.451,2.625,14.683,44.366,46.099,3.446
JY11-4,2312.375,1,179.257,236.032,2.629,14.196,25.767,27.234,3.288
JY11-4,2312.625,1,172.866,234.067,2.627,14.063,36.777,38.059,3.465
JY11-4,2313.5,1,169.885,234.033,2.619,14.239,40.952,41.982,3.469
JY11-4,2313.625,1,163.122,245.269,2.62,16.123,28.942,27.965,2.742
JY11-4,2313.75,1,164.722,245.513,2.631,15.756,19.414,18.653,2.803
JY11-4,2316.75,1,160.856,237.507,2.627,13.713,19.799,20.645,3.444
JY11-4,2316.875,1,162.622,236.828,2.63,13.499,26.301,27.639,3.313
JY11-4,2317,1,157.995,243.378,2.641,13.744,55.158,57.104,3.424
JY11-4,2317.75,1,160.327,243.024,2.633,13.831,52.893,54.944,3.453
JY11-4,2317.875,1,162.228,240.052,2.628,13.865,50.316,52.512,3.471
JY11-4,2318,1,169.966,260.624,2.613,15.14,40.383,41.802,3.599
JY11-4,2318.75,1,167.504,263.382,2.613,14.763,41.565,42.776,3.597
JY11-4,2318.875,1,166.597,266.186,2.615,14.536,39.629,40.422,3.642
JY11-4,2319.875,1,172.414,271.85,2.605,16.072,36.761,38.39,3.278
JY11-4,2322.375,1,167.894,266.695,2.602,15.444,42.872,43.814,3.365
JY11-4,2322.5,1,168.561,267.001,2.599,15.605,38.809,39.749,3.493
JY11-4,2322.625,1,169.127,267.728,2.618,15.026,48.329,50.381,3.696
JY11-4,2323.875,1,168.774,267.358,2.609,14.724,49.987,52.186,3.635
JY11-4,2324,1,166.464,266.161,2.598,14.697,52.285,54.659,3.559
JY11-4,2324.125,1,163.085,263.835,2.591,15.265,54.832,57.323,3.313
JY11-4,2327,1,163.1,262.497,2.614,15.213,56.227,60.3,2.462
JY11-4,2327.125,1,162.834,262.397,2.613,15.412,58.156,62.6,2.578
JY11-4,2327.25,1,165.279,262.636,2.593,15.197,58.955,63.852,2.872
JY11-4,2328.125,1,166.6,262.389,2.584,14.898,59.078,64.111,2.901
JY11-4,2328.25,1,167.408,261.522,2.577,14.722,59.758,64.965,2.876
