Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS,LLD,K
JY11-4,2273.125,2,182.417,249.446,2.726,19.597,20.281,21.591,4.92
JY11-4,2273.25,2,184.495,253.503,2.706,20.312,16.373,17.047,4.928
JY11-4,2273.375,2,183.122,257.063,2.691,20.635,11.544,11.866,4.897
JY11-4,2273.5,2,181.825,258.377,2.685,20.416,7.518,7.848,4.823
JY11-4,2273.625,2,181.409,258.895,2.687,20.269,5.667,6.224,4.728
JY11-4,2273.75,2,180.309,259.695,2.689,20.595,5.582,6.438,4.637
JY11-4,2273.875,2,178.423,260.409,2.689,21.317,7.192,8.439,4.554
JY11-4,2283,1,174.995,261.051,2.677,19.02,13.376,14.509,4.217
JY11-4,2283.125,1,177.342,259.542,2.676,18.373,16.98,18.127,4.115
JY11-4,2283.25,1,183.386,257.444,2.673,17.726,19.924,20.966,4.08
JY11-4,2283.625,1,197.481,252.389,2.653,16.906,20.475,20.997,4.378
JY11-4,2283.75,1,197.213,251.26,2.647,16.901,18.249,18.643,4.409
JY11-4,2283.875,1,196.836,251.889,2.642,16.741,15.757,16.086,4.429
JY11-4,2285,1,164.452,273.11,2.507,17.648,13.418,13.87,3.538
JY11-4,2285.125,1,161.596,283.052,2.447,20.478,13.687,14.118,3.467
JY11-4,2285.25,1,158.791,284.242,2.414,23.642,13.219,13.775,3.388
JY11-4,2285.75,2,148.424,227.431,2.583,13.348,43.078,45.572,3.247
JY11-4,2285.875,2,146.667,226.966,2.601,12.961,55.773,58.799,3.274
JY11-4,2286,2,143.487,222.629,2.604,13.108,65.864,69.384,3.314
JY11-4,2286.125,2,137.622,213.431,2.609,13.097,76,80.156,3.313
JY11-4,2286.25,2,127.198,203.654,2.627,12.414,89.932,95.019,3.175
JY11-4,2286.375,2,113.507,194.178,2.653,11.038,109.409,115.739,2.924
JY11-4,2286.5,2,99.762,186.974,2.677,9.485,133.017,140.338,2.738
JY11-4,2286.625,2,91.232,186.189,2.689,8.566,152.131,159.453,2.687
JY11-4,2286.75,2,89.517,193.297,2.688,8.537,155.964,162.103,2.684
JY11-4,2290.625,1,231.72,263.816,2.61,17.884,33.284,34.388,3.84
JY11-4,2290.75,1,226.221,259.268,2.604,17.179,33.315,34.364,3.744
JY11-4,2301.875,1,153.795,238.648,2.647,14.365,48.576,50.225,3.803
JY11-4,2304.75,1,156.749,245.55,2.619,13.992,51.034,52.986,3.665
JY11-4,2304.875,1,159.43,245.025,2.619,13.721,51.394,53.416,3.643
JY11-4,2305,1,161.593,243.657,2.623,13.681,52.022,54.177,3.632
JY11-4,2309.25,1,162.393,247.679,2.607,14.056,50.937,54.186,3.746
JY11-4,2312.375,1,179.257,236.032,2.629,14.196,25.767,27.234,3.288
JY11-4,2312.5,1,177.016,234.305,2.63,13.983,31.621,33.077,3.421
JY11-4,2312.625,1,172.866,234.067,2.627,14.063,36.777,38.059,3.465
JY11-4,2313.5,1,169.885,234.033,2.619,14.239,40.952,41.982,3.469
JY11-4,2313.625,1,163.122,245.269,2.62,16.123,28.942,27.965,2.742
JY11-4,2313.75,1,164.722,245.513,2.631,15.756,19.414,18.653,2.803
JY11-4,2316.75,1,160.856,237.507,2.627,13.713,19.799,20.645,3.444
JY11-4,2316.875,1,162.622,236.828,2.63,13.499,26.301,27.639,3.313
JY11-4,2317,1,157.995,243.378,2.641,13.744,55.158,57.104,3.424
JY11-4,2317.75,1,160.327,243.024,2.633,13.831,52.893,54.944,3.453
JY11-4,2317.875,1,162.228,240.052,2.628,13.865,50.316,52.512,3.471
JY11-4,2318,1,169.966,260.624,2.613,15.14,40.383,41.802,3.599
JY11-4,2318.75,1,167.504,263.382,2.613,14.763,41.565,42.776,3.597
JY11-4,2318.875,1,166.597,266.186,2.615,14.536,39.629,40.422,3.642
JY11-4,2319,1,178.419,270.606,2.616,15.748,22.04,22.604,3.826
JY11-4,2319.625,1,180.344,270.149,2.608,15.96,22.133,22.83,3.751
JY11-4,2319.75,1,177.43,268.891,2.602,15.859,23.445,24.236,3.639
JY11-4,2319.875,1,172.414,271.85,2.605,16.072,36.761,38.39,3.278
JY11-4,2322.375,1,167.894,266.695,2.602,15.444,42.872,43.814,3.365
JY11-4,2322.5,1,168.561,267.001,2.599,15.605,38.809,39.749,3.493
JY11-4,2322.625,1,169.127,267.728,2.618,15.026,48.329,50.381,3.696
JY11-4,2323.875,1,168.774,267.358,2.609,14.724,49.987,52.186,3.635
JY11-4,2324,1,166.464,266.161,2.598,14.697,52.285,54.659,3.559
JY11-4,2324.125,1,163.085,263.835,2.591,15.265,54.832,57.323,3.313
JY11-4,2327,1,163.1,262.497,2.614,15.213,56.227,60.3,2.462
JY11-4,2327.125,1,162.834,262.397,2.613,15.412,58.156,62.6,2.578
JY11-4,2327.25,1,165.279,262.636,2.593,15.197,58.955,63.852,2.872
JY11-4,2328.125,1,166.6,262.389,2.584,14.898,59.078,64.111,2.901
JY11-4,2328.25,1,167.408,261.522,2.577,14.722,59.758,64.965,2.876
JY11-4,2328.375,1,175.077,263.683,2.571,14.491,57.561,63.174,2.695
JY11-4,2329.875,1,184.478,253.087,2.585,12.73,31.779,32.445,2.525
JY11-4,2330,1,194.863,254.481,2.585,12.851,23.734,23.755,2.617
JY11-4,2330.125,1,206.087,271.189,2.603,16.521,22.412,23.866,3.502
JY11-4,2330.875,1,205.397,271.861,2.601,16.539,29.401,30.753,3.416
JY11-4,2331,1,207.143,272.663,2.598,16.576,32.207,33.276,3.29
JY11-4,2331.125,1,196.362,260.902,2.607,16.333,28.929,29.71,3.577
JY11-4,2332.75,1,179.002,243.366,2.616,13.79,41.667,43.349,3.408
JY11-4,2333.375,1,177.646,242.935,2.619,13.552,43.69,45.15,3.318
JY11-4,2333.5,1,178.672,244.103,2.619,13.493,42.881,44.086,3.24
JY11-4,2333.625,1,179.444,240.697,2.617,12.662,49.075,51.63,2.824
JY11-4,2334.375,1,182.431,239.975,2.617,12.839,50.94,53.735,2.822
JY11-4,2334.5,1,182.045,239.408,2.617,12.946,51.198,54.219,2.832
