Well Name,Depth,GR,AC,DEN,CNL,LLS,K,Facies
JY37-3,3210.375,114.651,246.88,2.087,44.213,3.742,1.817,3
JY37-3,3210.5,116.884,248.852,2.157,42.473,4.527,1.94,3
JY37-3,3210.625,118.925,247.633,2.239,40.08,5.319,2.049,3
JY37-3,3210.75,120.465,243.481,2.296,38.086,5.541,2.128,3
JY37-3,3211.625,123.159,251.877,2.447,43.107,34.286,2.467,3
JY37-3,3211.75,124.392,252.579,2.511,44.28,35.455,2.48,3
JY37-3,3211.875,125.91,248.857,2.569,44.179,41.702,2.477,3
JY37-3,3213.75,117.795,247.474,2.108,52.128,40.387,2.381,3
JY37-3,3213.875,119.484,250.391,2.098,53.271,39.351,2.399,3
JY37-3,3214.25,125.73,262.845,2.103,53.614,34.068,2.443,3
JY37-3,3214.375,126.771,269.027,2.127,51.613,28.099,2.473,3
JY37-3,3214.5,126.633,276.997,2.163,48.818,24.42,2.5,3
JY37-3,3214.625,125.147,281.881,2.214,45.108,22.852,2.526,3
JY37-3,3214.75,122.559,279.62,2.283,40.555,22.457,2.574,3
JY37-3,3214.875,119.424,268.512,2.366,35.773,22.778,2.593,3
JY37-3,3215,116.452,251.519,2.447,31.172,24.66,2.511,3
JY37-3,3215.125,114.255,233.09,2.512,26.7,28.31,2.367,6
JY37-3,3268.375,93.983,243.163,2.569,3.239,195.837,0.921,3
JY37-3,3271.25,154.006,223.044,2.635,9.546,85.416,2.169,6
JY37-3,3275.5,145.514,214.671,2.684,13.812,29.604,3.402,6
JY37-3,3287.375,83.347,248.127,2.56,3.193,239.89,0.901,3
JY37-3,3287.5,83.586,248.357,2.562,3.086,243.24,0.898,3
JY37-3,3288.75,84.484,244.186,2.573,2.818,261.136,0.719,3
JY37-3,3288.875,88.56,243.92,2.585,3.364,246.306,0.758,3
JY37-3,3290.375,73.646,249.358,2.582,2.604,181.034,1.126,3
JY37-3,3290.5,74.681,249.987,2.576,2.592,179.549,1.115,3
JY37-3,3290.625,77.374,245.647,2.58,2.772,174.472,1.11,3
JY37-3,3307.75,187.997,222.117,2.645,23.504,7.023,4.284,3
JY37-3,3307.875,187.321,222.543,2.622,23.467,8.301,4.249,3
JY37-3,3308,187.026,223.062,2.626,23.021,10.396,4.202,3
JY37-3,3308.125,187.31,223.563,2.637,22.25,13.004,4.156,3
JY37-3,3308.25,187.924,223.927,2.639,21.5,15.576,4.124,3
JY37-3,3346.5,194.258,226.569,2.652,20.067,19.29,4.275,3
JY37-3,3346.625,195.378,226.97,2.653,20.504,15.45,4.353,3
JY37-3,3350.375,194.568,223.247,2.652,18.937,22.975,4.425,3
JY37-3,3350.5,195.474,223.506,2.651,19.038,22.647,4.487,3
JY37-3,3350.625,196.157,223.722,2.65,19.394,22.619,4.514,3
JY37-3,3350.75,197.015,224.07,2.648,19.796,22.779,4.506,3
JY37-3,3350.875,198.135,224.642,2.646,20.03,22.931,4.472,3
JY37-3,3351,199.316,225.397,2.645,20,22.98,4.427,3
JY37-3,3351.125,200.599,226.179,2.645,19.755,22.795,4.367,3
JY37-3,3351.25,202.109,226.881,2.646,19.586,22.245,4.286,3
JY37-3,3351.375,203.682,227.427,2.646,19.682,21.48,4.204,3
JY37-3,3351.5,204.995,227.768,2.643,19.953,21.132,4.115,3
JY37-3,3351.75,205.851,227.793,2.634,19.929,22.343,3.918,3
JY37-3,3352.25,201.461,225.296,2.644,19.085,25.062,4.011,3
JY37-3,3353.125,200.019,228.97,2.647,19.691,12.431,4.44,3
JY37-3,3353.25,200.154,229.8,2.639,19.142,14.605,4.403,3
JY37-3,3353.375,199.59,230.108,2.634,18.672,17.399,4.351,3
JY37-3,3353.5,198.645,230.036,2.633,18.547,20.623,4.273,3
JY37-3,3353.625,197.875,229.843,2.632,18.514,24.151,4.15,3
JY37-3,3353.75,197.767,229.844,2.629,18.352,28.968,4.015,3
JY37-3,3353.875,198.391,230.126,2.623,18.082,36.376,3.903,3
JY37-3,3354,199.404,230.52,2.615,17.858,44.8,3.809,3
JY37-3,3355,183.108,227.542,2.639,17.201,4.007,3.434,3
JY37-3,3356.625,186.877,218.543,2.639,16.254,20.74,3.926,3
JY37-3,3357.125,191.669,240.959,2.641,18.315,12.114,4.03,3
JY37-3,3357.25,185.382,241.012,2.611,18.184,13.942,3.841,3
JY37-3,3357.375,178.495,237.133,2.591,17.592,18.268,3.536,3
JY37-3,3358.875,164.014,220.723,2.633,13.227,47.497,3.534,3
JY37-3,3363.625,156.283,233.329,2.596,16.455,30.91,3.704,3
JY37-3,3363.75,157.371,235.979,2.577,16.917,26.1,3.742,3
JY37-3,3364,159.163,242.551,2.554,18.296,22.996,3.733,3
JY37-3,3364.125,160.613,245.376,2.552,18.916,24.066,3.698,3
JY37-3,3364.25,162.896,247.322,2.573,19.595,26.586,3.657,3
JY37-3,3364.375,166.175,248.014,2.59,20.449,29.304,3.624,3
JY37-3,3364.5,170.439,247.509,2.601,21.227,29.644,3.613,3
JY37-3,3364.625,175.488,246.127,2.609,21.553,27.688,3.629,3
JY37-3,3364.75,181.018,244.377,2.616,21.387,25.312,3.657,3
JY37-3,3364.875,186.541,242.893,2.621,21.096,23.717,3.682,3
JY37-3,3365.5,198.969,238.078,2.656,21.499,23.011,3.73,3
JY37-3,3368.5,191.61,228.322,2.648,20.773,19.943,4.195,3
JY37-3,3368.625,189.639,228.307,2.631,20.412,18.867,4.213,3
JY37-3,3368.75,187.63,227.938,2.619,20.34,18.177,4.217,3
JY37-3,3368.875,185.97,227.312,2.614,20.474,18.083,4.212,3
JY37-3,3369,185.004,226.526,2.619,20.76,18.682,4.186,3
JY37-3,3369.125,184.777,225.626,2.63,21.007,19.736,4.152,3
JY37-3,3369.25,184.966,224.654,2.644,20.944,20.997,4.143,3
JY37-3,3373.25,184.886,222.536,2.663,19.339,14.682,3.782,3
JY37-3,3376,187.407,225.854,2.656,20.013,17.131,3.518,3
JY37-3,3376.125,188.463,225.808,2.651,20.446,19.073,3.452,3
JY37-3,3376.5,189.69,226.955,2.644,18.899,24.17,3.76,3
JY37-3,3377.5,183.248,219.022,2.655,17.078,27.697,3.661,3
JY37-3,3377.625,184.089,219.178,2.639,17.398,28.26,3.556,3
JY37-3,3379.25,179.709,220.668,2.649,17.466,33.826,3.646,3
JY37-3,3379.75,191.589,225.616,2.646,18.023,23.098,3.645,3
JY37-3,3379.875,193.293,227.81,2.646,17.815,21.095,3.628,3
JY37-3,3380,194.123,230.347,2.643,17.869,20.577,3.6,3
JY37-3,3380.125,194.268,232.528,2.639,18.102,20.578,3.566,3
JY37-3,3382,205.715,236.054,2.621,19.767,26.024,3.933,3
JY37-3,3382.5,213.131,241.529,2.61,20.789,26.156,3.761,3
JY37-3,3382.625,213.825,241.434,2.602,20.556,26.805,3.723,3
JY37-3,3382.75,213.943,240.574,2.593,20.18,27.428,3.695,3
JY37-3,3382.875,213.304,239.129,2.591,19.784,27.814,3.685,3
JY37-3,3383.875,222.435,240.294,2.603,20.841,24.625,3.307,3
JY37-3,3384,224.266,242.067,2.592,20.97,25.944,3.263,3
JY37-3,3384.125,224.944,243.233,2.583,20.851,27.212,3.225,3
JY37-3,3384.25,224.528,243.666,2.58,20.513,27.305,3.199,3
JY37-3,3384.375,222.986,243.227,2.58,19.877,26.588,3.176,3
JY37-3,3384.5,220.39,242.067,2.58,18.923,26.116,3.156,3
JY37-3,3384.625,217.187,240.569,2.576,17.991,26.296,3.142,3
JY37-3,3384.75,213.988,239.123,2.571,17.534,26.582,3.128,3
JY37-3,3384.875,211.263,238.087,2.567,17.658,26.387,3.11,3
JY37-3,3389.625,166.896,231.827,2.589,16.72,37.405,3.628,3
JY37-3,3391.75,219.541,234.131,2.642,16.841,41.567,3.759,3
JY37-3,3391.875,220.672,234.33,2.651,16.726,42.38,3.758,3
JY37-3,3392,220.821,234.354,2.651,16.891,40.662,3.718,3
JY37-3,3392.125,220.224,234.173,2.657,17.278,36.155,3.652,3
JY37-3,3392.25,219.128,233.934,2.664,17.695,31.714,3.563,3
JY37-3,3392.375,217.688,233.741,2.67,17.947,29.636,3.452,3
JY37-3,3392.5,216.096,233.436,2.667,18.054,28.488,3.341,3
JY37-3,3392.625,214.34,232.784,2.664,18.115,25.423,3.278,3
JY37-3,3392.75,212.042,231.788,2.66,18.151,20.737,3.278,3
JY37-3,3392.875,208.902,230.627,2.66,18.148,17.357,3.325,3
JY37-3,3393,205.193,229.682,2.656,18.151,16.285,3.4,3
JY37-3,3393.125,201.505,229.365,2.649,18.192,17.161,3.495,3
JY37-3,3393.25,198.303,229.905,2.644,18.313,19.238,3.597,3
JY37-3,3393.375,195.835,231.092,2.644,18.655,22.046,3.672,3
JY37-3,3393.5,194.18,232.224,2.65,19.181,24.846,3.692,3
JY37-3,3393.625,193.187,232.719,2.66,19.511,26.908,3.666,3
JY37-3,3394.75,197.688,233.347,2.68,19.116,26.214,3.606,3
JY37-3,3394.875,199.259,236.303,2.656,19.812,26.214,3.475,3
JY37-3,3395,201.066,236.329,2.649,20.48,26.379,3.367,3
JY37-3,3395.375,204.138,239.897,2.651,22.119,22.692,3.48,3
JY37-3,3396.25,198.957,237.613,2.645,21.579,21.237,4.454,3
JY37-3,3396.375,199.263,238.952,2.638,21.678,22.013,4.413,3
JY37-3,3396.5,199.73,239.352,2.635,21.832,23.414,4.34,3
JY37-3,3396.625,200.177,238.915,2.635,22.166,25.045,4.255,3
JY37-3,3396.75,200.505,237.961,2.641,22.8,25.42,4.167,3
JY37-3,3396.875,200.726,236.927,2.648,23.54,23.252,4.084,3
JY37-3,3397,200.737,236.072,2.651,24.004,19.782,4.025,3
JY37-3,3397.125,200.381,235.539,2.647,23.967,17.14,3.999,3
JY37-3,3397.25,199.798,235.349,2.638,23.684,16.249,3.999,3
JY37-3,3397.375,199.157,235.154,2.633,23.857,16.61,4.013,3
JY37-3,3397.5,198.407,234.221,2.633,24.666,17.635,4.021,3
JY37-3,3397.625,197.477,232.294,2.634,25.638,19.072,4.02,3
JY37-3,3397.75,196.394,230.036,2.634,26.081,21.109,4.028,3
JY37-3,3397.875,195.196,228.574,2.635,25.933,23.703,4.059,3
JY37-3,3398,193.897,228.586,2.638,25.724,25.627,4.115,3
JY37-3,3398.125,192.524,230.25,2.642,25.658,25.085,4.116,3
JY37-3,3398.25,191.256,233.123,2.649,25.514,22.162,4.19,3
JY37-3,3399.625,202.163,227.476,2.658,22.908,22.375,3.793,3
JY37-3,3399.75,202.299,231.239,2.651,23.267,22.241,3.755,3
JY37-3,3399.875,202.347,234.372,2.649,23.709,21.813,3.74,3
JY37-3,3400,202.579,236.69,2.65,24.449,21.279,3.754,3
JY37-3,3400.125,203.198,238.365,2.652,25.327,21.132,3.793,3
JY37-3,3400.375,205.386,239.508,2.651,25.617,21.94,3.88,3
JY37-3,3400.625,208.109,237.38,2.646,25.017,22.899,3.927,3
JY37-3,3400.75,209.147,235.457,2.646,25.266,23.215,3.945,3
JY37-3,3400.875,209.585,233.352,2.646,25.633,23.267,3.964,3
JY37-3,3401,209.48,231.571,2.647,25.897,22.702,3.982,3
JY37-3,3401.125,209.047,230.732,2.649,25.928,21.413,3.99,3
JY37-3,3401.25,208.449,231.254,2.65,25.529,19.972,3.976,3
JY37-3,3401.375,207.868,232.951,2.648,24.802,19.199,3.938,3
JY37-3,3401.625,207.429,236.802,2.645,23.887,20.595,3.81,3
JY37-3,3401.75,207.46,237.51,2.645,23.893,22.217,3.762,3
JY37-3,3401.875,207.616,237.102,2.648,24.011,24.064,3.763,3
JY37-3,3402,208.21,235.97,2.654,24.244,26.009,3.813,3
JY37-3,3403.75,195.554,235.775,2.653,22.683,12.427,4.128,3
JY37-3,3403.875,194.395,236.344,2.649,22.819,16.29,4.198,3
JY37-3,3404,194.045,236.312,2.649,23.279,22.646,4.178,3
JY37-3,3404.125,194.026,235.553,2.652,23.896,28.951,4.095,3
JY37-3,3405,181.24,223.388,2.672,23.636,16.234,3.494,3
JY37-3,3405.375,168.883,239.162,2.642,22.852,15.607,3.504,3
