Well Name,Depth,Facies,GR,AC,DEN,CNL
JY11-4,2265.125,4,157.848,220.712,2.722,21.219
JY11-4,2265.25,4,158.666,218.015,2.726,18.188
JY11-4,2265.375,4,159.859,217.003,2.72,17.333
JY11-4,2265.75,4,159.856,221.967,2.693,18.24
JY11-4,2265.875,4,159.99,225.382,2.688,18.15
JY11-4,2266,4,159.624,228.794,2.684,18.281
JY11-4,2266.75,4,159.481,230.419,2.706,20.186
JY11-4,2266.875,4,158.711,227.974,2.706,19.641
JY11-4,2267,4,157.415,225.114,2.701,18.85
JY11-4,2267.625,4,154.93,232.759,2.683,19.231
JY11-4,2267.75,4,158.615,235.14,2.681,19.914
JY11-4,2267.875,4,162.738,235.912,2.683,19.995
JY11-4,2268.625,4,163.259,238.259,2.657,21.431
JY11-4,2268.75,4,161.386,238.078,2.658,22.195
JY11-4,2268.875,4,160.316,237.593,2.663,22.72
JY11-4,2269.625,4,158.366,234.939,2.679,20.294
JY11-4,2269.75,4,159.951,234.672,2.686,19.749
JY11-4,2269.875,4,162.662,234.889,2.69,19.523
JY11-4,2270.75,4,164.481,234.086,2.671,20.6
JY11-4,2270.875,4,162.038,234.211,2.669,20.317
JY11-4,2271,4,159.34,234.814,2.67,20.209
JY11-4,2271.625,4,162.575,241.822,2.697,20.586
JY11-4,2271.75,4,162.644,243.424,2.695,21.108
JY11-4,2271.875,4,163.555,244.89,2.693,21.255
JY11-4,2272.5,4,164.061,251.363,2.696,22.318
JY11-4,2272.625,4,162.007,249.104,2.708,22.32
JY11-4,2272.75,4,162.149,246.529,2.722,21.224
JY11-4,2274.375,4,171.291,261.533,2.699,21.605
JY11-4,2274.5,4,170.148,262.113,2.699,22.122
JY11-4,2274.625,4,170.607,262.844,2.693,22.436
JY11-4,2275.625,4,177.384,261.546,2.685,21.637
JY11-4,2275.75,4,176.996,261.43,2.684,22.007
JY11-4,2275.875,4,174.653,261.158,2.681,22.379
JY11-4,2276.375,4,170.457,266.26,2.688,22.221
JY11-4,2276.5,4,171.153,268.807,2.692,22.523
JY11-4,2276.625,4,172.41,270.942,2.691,22.748
JY11-4,2277.5,4,169.888,269.331,2.682,21.296
JY11-4,2277.625,4,167.773,263.57,2.687,21.134
JY11-4,2277.75,4,164.226,257.785,2.699,20.847
JY11-4,2278.5,4,168.896,270.651,2.696,21.968
JY11-4,2278.625,4,168.164,270.273,2.691,21.767
JY11-4,2278.75,4,166.007,269.669,2.688,21.052
JY11-4,2279.75,4,165.103,264.721,2.668,21.02
JY11-4,2279.875,4,165.631,263.647,2.669,21.14
JY11-4,2280,4,164.353,262.851,2.672,21.345
JY11-4,2281,4,170.103,265.786,2.668,19.88
JY11-4,2281.125,4,172.508,267.673,2.665,20.295
JY11-4,2281.25,4,175.654,269.241,2.659,20.804
JY11-4,2282,4,173.175,266.983,2.661,21.573
JY11-4,2282.125,4,171.665,266.275,2.665,21.69
JY11-4,2282.25,4,172.004,265.695,2.67,21.35
JY11-4,2287,5,115.013,235.32,2.642,12.88
JY11-4,2287.25,5,137.358,257.743,2.619,17.982
JY11-4,2287.375,5,139.107,260.851,2.621,18.541
JY11-4,2287.5,5,142.982,263.559,2.622,19.334
JY11-4,2287.625,5,149.485,266.861,2.621,20.58
JY11-4,2288.75,4,175.295,266.702,2.647,19.284
JY11-4,2289,5,173.896,266.398,2.659,19.753
JY11-4,2289.125,5,173.91,265.489,2.655,19.522
JY11-4,2289.25,5,174.92,264.535,2.649,19.184
JY11-4,2289.375,5,176.34,263.425,2.643,18.801
JY11-4,2289.625,5,188.559,244.51,2.639,15.989
JY11-4,2290.5,5,230.905,267.009,2.616,18.577
JY11-4,2291,5,194.391,240.299,2.646,13.575
JY11-4,2291.125,5,198.053,241.618,2.65,14.257
JY11-4,2291.25,5,206.598,246.819,2.65,15.666
JY11-4,2291.375,5,192.676,276.221,2.671,19.713
JY11-4,2291.625,5,196.519,281.65,2.64,21.324
JY11-4,2292.5,4,198.884,289.937,2.624,22.509
JY11-4,2292.625,4,199.276,290.707,2.617,22.3
JY11-4,2293.75,4,202.439,289.176,2.616,20.158
JY11-4,2293.875,4,205.146,287.485,2.617,20.53
JY11-4,2294.5,5,183.352,274.199,2.653,18.084
JY11-4,2295.125,4,184.55,275.827,2.657,18.268
JY11-4,2295.25,4,207.038,292.488,2.625,20.414
JY11-4,2295.875,4,191.198,288.088,2.627,19.86
JY11-4,2296,4,196.747,288.147,2.644,19.934
JY11-4,2297,4,153.892,237.748,2.687,13.277
JY11-4,2297.125,4,144.007,234.656,2.682,12.981
JY11-4,2297.25,4,153.408,244.324,2.64,14.506
JY11-4,2299.125,4,153.868,237.22,2.645,14.828
JY11-4,2299.25,4,152.584,236.018,2.649,14.334
JY11-4,2299.375,4,144.601,233.366,2.661,13.783
JY11-4,2300,4,143.744,233.068,2.658,13.873
JY11-4,2300.125,4,140.831,232.61,2.661,14.013
JY11-4,2300.25,4,147.502,233.93,2.627,14.675
JY11-4,2302.875,4,154.394,240.498,2.646,14.332
JY11-4,2303,4,155.773,242.861,2.643,14.597
JY11-4,2303.125,4,156.869,244.405,2.638,14.913
JY11-4,2303.875,4,156.614,245.279,2.633,14.972
JY11-4,2304,4,155.87,245.825,2.627,14.75
JY11-4,2304.125,4,155.477,245.856,2.622,14.375
JY11-4,2305.875,4,160.766,241.068,2.628,13.755
JY11-4,2306,4,156.531,237.795,2.636,13.709
JY11-4,2306.125,4,151.433,235.002,2.645,13.424
JY11-4,2307,4,149.198,233.557,2.652,13.066
JY11-4,2307.125,4,151.132,234.067,2.652,12.892
JY11-4,2307.25,4,156.826,236.277,2.647,13.075
JY11-4,2307.375,5,162.899,239.164,2.64,13.52
JY11-4,2307.5,5,166.481,241.32,2.636,13.968
JY11-4,2307.625,5,167.077,242.35,2.634,14.106
JY11-4,2307.75,5,166.698,242.633,2.634,13.897
JY11-4,2307.875,5,158.243,241.83,2.632,13.413
JY11-4,2308,5,154.257,241.027,2.632,13.804
JY11-4,2308.125,5,152.184,239.881,2.636,14.246
JY11-4,2308.25,5,149.925,234.669,2.634,13.876
JY11-4,2308.375,5,152.562,236.069,2.635,13.681
JY11-4,2308.5,5,154.054,238.551,2.635,13.795
JY11-4,2308.625,5,156.777,244.683,2.626,14.578
JY11-4,2308.75,5,159.148,247.228,2.622,14.722
JY11-4,2308.875,5,161.285,248.519,2.62,14.539
JY11-4,2309,5,162.185,248.682,2.617,14.226
JY11-4,2309.125,5,162.264,248.418,2.612,14.038
JY11-4,2309.375,5,162.331,240.733,2.615,13.957
JY11-4,2309.875,4,163.005,239.587,2.617,13.874
JY11-4,2310,4,162.535,239.412,2.617,13.828
JY11-4,2310.125,4,214.533,249.866,2.645,16.975
JY11-4,2310.75,4,223.144,246.406,2.649,16.799
JY11-4,2310.875,4,218.058,241.36,2.652,15.681
JY11-4,2311,4,170.755,241.451,2.625,14.683
JY11-4,2311.625,4,173.461,240.528,2.632,15.227
JY11-4,2311.75,4,175.602,239.085,2.63,15.17
JY11-4,2311.875,4,178.363,238.04,2.628,14.698
JY11-4,2314.625,5,165.655,245.628,2.641,15.227
JY11-4,2314.75,5,163.354,237.989,2.623,14.939
JY11-4,2314.875,5,163.965,238.676,2.624,14.712
JY11-4,2315,5,165.205,239.877,2.628,14.54
JY11-4,2315.125,5,156.273,237.38,2.644,14.409
JY11-4,2315.25,5,156.191,235.604,2.651,14.142
JY11-4,2315.375,5,155.07,232.663,2.659,13.629
JY11-4,2315.5,5,161.454,238.713,2.66,14.409
JY11-4,2315.625,5,164.328,241.12,2.655,14.766
JY11-4,2315.75,5,163.985,241.032,2.653,14.65
JY11-4,2315.875,5,160.193,238.127,2.627,14.017
JY11-4,2320.875,4,171.81,270.648,2.603,16.687
JY11-4,2321,4,169.281,269.024,2.602,16.896
JY11-4,2321.125,4,166.736,266.175,2.605,15.428
JY11-4,2324.625,4,163.573,263.887,2.593,15.223
JY11-4,2324.75,4,164.119,264.41,2.594,14.959
JY11-4,2324.875,4,164.015,264.835,2.592,14.72
JY11-4,2326.125,4,163.905,264.559,2.592,14.634
JY11-4,2326.25,4,164.123,263.51,2.596,14.721
JY11-4,2326.375,4,163.809,262.657,2.606,14.941
JY11-4,2335.375,4,173.468,233.847,2.627,12.038
JY11-4,2335.5,4,173.38,236.201,2.612,12.033
JY11-4,2335.625,4,166.064,241.368,2.588,11.888
JY11-4,2338.25,5,191.513,243.541,2.584,12.422
JY11-4,2338.375,5,195.9,245.708,2.573,12.856
JY11-4,2338.5,5,202.469,252.7,2.572,12.13
JY41-5,2494.5,4,165.888,238.551,2.742,18.609
JY41-5,2494.625,4,164.232,238.706,2.745,18.517
JY41-5,2520.125,4,188.447,249.275,2.725,21.748
JY41-5,2520.25,4,181.884,247.823,2.716,19.892
JY41-5,2521,4,174.907,238.665,2.703,17.194
JY41-5,2521.125,4,176.183,238.368,2.7,17.181
JY41-5,2521.25,4,177.935,238.672,2.702,17.483
JY41-5,2522.125,4,181.222,242.698,2.709,19.511
JY41-5,2522.25,4,184.508,243.803,2.704,19.379
JY41-5,2522.375,4,187.919,245.654,2.699,19.4
JY41-5,2523.25,4,189.081,253.41,2.716,20.6
JY41-5,2523.375,4,191.613,253.397,2.718,20.88
JY41-5,2523.5,4,194.113,253.462,2.716,20.9
JY41-5,2524.25,4,186.462,254.463,2.701,20.818
JY41-5,2524.375,4,183.164,254.525,2.709,20.741
JY41-5,2524.5,4,182.628,254.347,2.72,20.658
JY41-5,2525.125,4,174.938,251.576,2.703,21.156
JY41-5,2525.25,4,175.701,251.445,2.705,20.67
JY41-5,2525.375,4,176.596,251.55,2.71,20.224
JY41-5,2526.125,4,178.725,254.019,2.728,20.25
JY41-5,2526.25,4,180.339,254.521,2.731,20.893
JY41-5,2526.375,4,183.28,255.012,2.735,21.529
JY41-5,2527.125,4,181.617,255.457,2.72,20.906
JY41-5,2527.25,4,179.41,254.761,2.716,20.503
JY41-5,2527.375,4,177.695,253.873,2.715,20.45
JY41-5,2528,4,178.108,250.025,2.723,20.761
JY41-5,2528.125,4,175.971,249.991,2.719,20.25
JY41-5,2528.25,4,175.205,250.204,2.714,20.031
JY41-5,2528.875,4,182.537,249.494,2.716,19.519
JY41-5,2529,4,178.026,248.254,2.714,20.092
JY41-5,2529.125,4,172.929,246.999,2.718,20.226
JY41-5,2529.75,4,179.54,247.462,2.726,21.053
JY41-5,2529.875,4,180.642,248.073,2.725,21.299
JY41-5,2530,4,180.674,248.408,2.723,20.965
JY41-5,2530.625,4,178.624,249.629,2.731,19.956
