Well Name,Depth,GR,AC,DEN,K
JY1,2328.75,158.065,249.654,2.7,124.809
JY1,2328.875,159.684,249.319,2.689,128.419
JY1,2329,162.541,248.831,2.682,127.311
JY1,2329.125,164.048,248.601,2.682,118.807
JY1,2329.25,164.565,248.978,2.691,104.316
JY1,2329.375,166.243,249.811,2.707,90.018
JY1,2329.5,168.884,250.231,2.723,80.301
JY1,2329.625,169.711,249.959,2.734,78.354
JY1,2329.75,167.949,249.916,2.739,87.465
JY1,2329.875,166.128,251.127,2.737,107.229
JY1,2330,167.316,253.521,2.725,130.739
JY1,2330.125,171.25,256.224,2.704,147.388
JY1,2330.25,175.569,258.08,2.684,154.312
JY1,2330.375,177.584,257.939,2.672,154.578
JY1,2330.5,176.305,255.191,2.67,153.882
JY1,2330.625,171.461,251.028,2.678,154.249
JY1,2330.75,165.113,247.519,2.691,156.449
JY1,2330.875,160.525,246.075,2.7,159.504
JY1,2331,159.954,246.597,2.697,161.939
JY1,2331.125,162.132,248.719,2.685,163.941
JY1,2331.25,164.869,251.619,2.676,165.832
JY1,2331.375,166.589,254.453,2.676,166.692
JY1,2331.5,167.075,256.388,2.681,166.084
JY1,2331.625,166.306,257.454,2.686,164.032
JY1,2331.75,164.795,258.192,2.69,161.203
JY1,2331.875,163.612,259.254,2.693,159.777
JY1,2332,164.165,260.737,2.691,161.255
JY1,2332.125,166.366,262.282,2.68,165.105
JY1,2332.25,168.227,263.295,2.667,167.224
JY1,2332.375,168.062,263.391,2.665,165.003
JY1,2332.5,166.701,262.475,2.675,160.493
JY1,2332.625,165.627,261.131,2.69,157.945
JY1,2332.75,165.107,260.078,2.702,159.441
JY1,2332.875,164.358,259.701,2.711,162.406
JY1,2333,163.834,259.625,2.719,164.012
JY1,2333.125,164.7,259.409,2.721,164.425
JY1,2333.25,166.522,258.825,2.717,165.986
JY1,2333.375,167.795,257.988,2.71,168.781
JY1,2333.5,167.555,257.077,2.705,169.879
JY1,2333.625,166.18,256.253,2.706,168.16
JY1,2333.75,163.982,255.617,2.709,166.039
JY1,2333.875,161.891,255.335,2.71,166.918
JY1,2334,160.389,255.765,2.702,170.761
JY1,2334.125,159.263,257.122,2.692,175.31
JY1,2334.25,158.526,259.192,2.687,177.679
JY1,2334.375,158.725,261.17,2.691,176.827
JY1,2334.5,160.255,262.397,2.701,172.223
JY1,2334.625,161.788,262.315,2.715,165.718
JY1,2334.75,161.744,261.022,2.727,160.639
JY1,2334.875,160.236,259.071,2.731,159.695
JY1,2335,158.778,257.428,2.724,161.769
JY1,2335.125,158.533,256.703,2.713,164.627
JY1,2335.25,159.289,257.001,2.705,166.503
JY1,2335.375,159.199,257.936,2.701,167.162
JY1,2335.5,157.434,258.943,2.697,166.514
JY1,2335.625,156.35,259.553,2.691,164.992
JY1,2335.75,158.093,259.684,2.688,163.574
JY1,2335.875,161.895,259.481,2.69,163.847
JY1,2336,164.851,259.277,2.692,166.048
JY1,2336.125,165.915,259.576,2.693,168.219
JY1,2336.25,165.748,260.74,2.688,168.274
JY1,2336.375,165.975,262.728,2.678,166.883
JY1,2336.5,167.686,265.017,2.668,165.702
JY1,2336.625,170.67,267.149,2.663,165.225
JY1,2336.75,173.633,268.684,2.664,164.481
JY1,2336.875,175.54,269.268,2.668,163.725
JY1,2337,176.41,268.665,2.672,164.389
JY1,2337.125,176.665,267.081,2.676,166.264
JY1,2337.25,176.018,264.896,2.68,167.802
JY1,2337.375,173.993,262.351,2.684,167.763
JY1,2337.5,170.53,259.766,2.685,166.565
JY1,2337.625,167.16,257.536,2.687,164.377
JY1,2337.75,166.167,255.883,2.688,162.177
JY1,2337.875,167.838,254.712,2.688,160.605
JY1,2338,171.421,254.144,2.683,159.427
JY1,2338.125,176.687,254.4,2.675,158.545
JY1,2338.25,183.425,255.286,2.668,158.447
JY1,2338.375,190.251,256.43,2.661,159.902
JY1,2338.5,195.283,257.385,2.649,161.728
JY1,2338.625,197.556,257.7,2.637,162.034
JY1,2338.75,197.576,256.985,2.634,160.576
JY1,2338.875,196.527,255.509,2.637,158.886
JY1,2339,195.907,254.056,2.638,158.355
JY1,2339.125,195.275,253.255,2.631,159.214
JY1,2339.25,191.87,253.229,2.62,159.574
JY1,2339.375,184.473,254.41,2.618,157.794
JY1,2339.5,176.694,258.418,2.626,156.105
JY1,2339.625,171.902,267.284,2.625,157.237
JY1,2339.75,170.125,281.099,2.599,161.148
JY1,2340.375,158.507,272.548,2.477,167.012
JY1,2342,137.184,245.938,2.604,174.944
JY1,2342.125,141.09,256.184,2.6,181.506
JY1,2342.25,142.754,263.351,2.61,188.677
JY1,2342.375,144.312,268.553,2.626,194.476
JY1,2342.5,147.481,272.657,2.636,197.429
JY1,2342.625,152.729,275.75,2.637,197.889
JY1,2342.75,158.922,277.193,2.635,196.76
JY1,2342.875,163.732,276.566,2.638,195.932
JY1,2343,165.822,274.444,2.644,195.844
JY1,2343.125,165.903,272.033,2.649,193.849
JY1,2343.25,166.055,270.187,2.652,186.957
JY1,2343.375,166.834,269.229,2.656,178.422
JY1,2343.5,166.847,268.848,2.663,172.525
JY1,2343.625,165.415,268.386,2.668,170.412
JY1,2343.75,164.364,267.5,2.666,169.453
JY1,2343.875,165.301,266.657,2.659,167.947
JY1,2344,167.604,266.287,2.651,166.059
JY1,2344.125,170.126,266.087,2.649,163.7
JY1,2344.25,172.477,265.401,2.646,160.056
JY1,2344.375,174.92,263.623,2.641,155.069
JY1,2344.5,177.945,260.563,2.635,148.832
JY1,2344.625,181.578,256.88,2.632,139.746
JY1,2344.75,184.975,254.17,2.631,126.746
JY1,2344.875,188.231,253.678,2.632,110.872
JY1,2345,193.387,255.279,2.629,96.101
JY1,2345.125,200.832,257.464,2.625,86.59
JY1,2345.25,206.775,258.182,2.625,84.606
JY1,2345.375,207.26,255.788,2.632,89.55
JY1,2345.5,202.811,250.415,2.643,99.551
JY1,2345.625,197.057,244.032,2.65,112.895
JY1,2346.125,194.677,244.38,2.624,142.372
JY1,2346.25,197.221,248.545,2.626,143.472
JY1,2346.375,199.124,251.182,2.637,145.874
JY1,2346.5,199.304,252.422,2.651,150.445
JY1,2346.625,197.242,253.551,2.66,156.869
JY1,2346.75,193.714,255.669,2.66,162.613
JY1,2346.875,190.324,259.022,2.654,165.728
JY1,2347,187.831,263.22,2.647,165.986
JY1,2347.125,185.61,267.533,2.642,165.759
JY1,2347.25,183.376,271.151,2.639,166.565
JY1,2347.375,181.727,273.614,2.637,167.295
JY1,2347.5,180.413,275.074,2.636,166.095
JY1,2347.625,178.022,276.087,2.637,164.281
JY1,2347.75,174.662,276.98,2.638,164.502
JY1,2347.875,172.522,277.846,2.639,166.61
JY1,2348,173.402,278.626,2.638,169.207
JY1,2348.125,176.983,279.151,2.637,171.596
JY1,2348.25,181.213,279.322,2.638,173.874
JY1,2348.375,183.979,279.262,2.638,176.552
JY1,2348.5,184.442,279.249,2.634,180.1
JY1,2348.625,183.404,279.531,2.626,183.847
JY1,2348.75,182.863,280.197,2.618,186.691
JY1,2348.875,184.51,281.099,2.615,190.537
JY1,2349,188.53,281.834,2.615,197.62
JY1,2349.125,193.26,281.896,2.616,205.565
JY1,2349.25,196.45,280.971,2.618,208.544
JY1,2349.375,197.887,279.098,2.624,205.414
JY1,2349.5,199.298,276.668,2.633,199.097
JY1,2349.625,202.246,274.372,2.644,194.171
JY1,2349.75,206.445,272.912,2.652,191.897
JY1,2349.875,209.68,272.67,2.655,191.972
JY1,2350,209.773,273.427,2.653,193.571
JY1,2350.125,206.527,274.385,2.647,196.18
JY1,2350.25,200.711,274.556,2.638,198.614
JY1,2350.375,191.689,273.214,2.631,199.8
JY1,2350.5,178.932,269.829,2.635,198.652
JY1,2350.625,163.952,264.68,2.649,195.399
JY1,2350.75,151.202,259.291,2.67,191.548
JY1,2350.875,145.69,255.863,2.686,188.763
JY1,2351.125,159.692,259.504,2.681,184.314
JY1,2351.25,171.346,265.88,2.668,182.217
JY1,2351.375,181.199,272.991,2.66,181.126
JY1,2351.5,188.002,278.623,2.66,179.545
