Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS,LLD,K
JY51-2,3050.875,3,181.742,87.178,232.763,2.647,15.981,43.868,39.069
JY51-2,3051,3,175.43,87.082,230.376,2.645,16.008,46.33,41.569
JY51-2,3051.125,3,167.55,87.023,226.242,2.64,15.857,53.919,48.597
JY51-2,3051.25,3,157.413,87.017,219.731,2.64,14.985,70.227,63.129
JY51-2,3051.375,3,143.621,87.044,211.483,2.656,13.185,96.95,86.464
JY51-2,3051.5,3,127.417,87.084,202.526,2.686,11.071,132.088,116.881
JY51-2,3051.625,3,113.334,87.133,194.479,2.72,9.548,168.895,148.649
JY51-2,3051.75,3,105.441,87.207,189.479,2.743,8.991,196.271,171.991
JY51-2,3051.875,3,104.238,87.309,188.758,2.749,9.221,202.942,176.888
JY51-2,3052,3,107.913,87.43,192.031,2.741,10.009,184.75,160.127
JY51-2,3052.125,3,115.207,87.58,198.443,2.723,11.332,148.903,128.727
JY11-4,2265.75,2,159.856,221.967,2.693,18.24,29.806,27.764,4.108
JY11-4,2272.5,2,164.061,251.363,2.696,22.318,22.247,24.652,4.456
JY11-4,2272.625,2,162.007,249.104,2.708,22.32,22.248,24.606,4.565
JY11-4,2274.375,2,171.291,261.533,2.699,21.605,20.311,22.246,4.034
JY11-4,2274.5,2,170.148,262.113,2.699,22.122,21.864,23.669,3.968
JY11-4,2274.625,2,170.607,262.844,2.693,22.436,22.453,24.089,3.972
JY11-4,2275.625,2,177.384,261.546,2.685,21.637,5.475,6.139,5.295
JY11-4,2275.75,2,176.996,261.43,2.684,22.007,7.449,8.5,5.314
JY11-4,2275.875,2,174.653,261.158,2.681,22.379,11.381,12.833,5.247
JY11-4,2276.375,2,170.457,266.26,2.688,22.221,20.946,22.573,4.599
JY11-4,2276.5,2,171.153,268.807,2.692,22.523,20.948,22.584,4.533
JY11-4,2276.625,2,172.41,270.942,2.691,22.748,21.114,22.777,4.508
JY11-4,2277.5,2,169.888,269.331,2.682,21.296,22.444,24.406,4.784
JY11-4,2277.625,2,167.773,263.57,2.687,21.134,22.756,24.707,4.63
JY11-4,2277.75,2,164.226,257.785,2.699,20.847,22.75,24.646,4.456
JY11-4,2278.5,2,168.896,270.651,2.696,21.968,20.855,23.012,4.402
JY11-4,2278.625,2,168.164,270.273,2.691,21.767,21.169,23.436,4.519
JY11-4,2278.75,2,166.007,269.669,2.688,21.052,21.481,23.804,4.615
JY11-4,2279.875,2,165.631,263.647,2.669,21.14,19.186,21.188,4.292
JY11-4,2280,2,164.353,262.851,2.672,21.345,19.967,21.817,4.276
JY11-4,2281,2,170.103,265.786,2.668,19.88,20.51,21.945,3.992
JY11-4,2281.125,2,172.508,267.673,2.665,20.295,18.11,19.192,3.969
JY11-4,2281.25,2,175.654,269.241,2.659,20.804,14.877,15.799,3.922
JY11-4,2282,2,173.175,266.983,2.661,21.573,12.776,13.6,4.302
JY11-4,2282.125,2,171.665,266.275,2.665,21.69,12.922,13.604,4.54
JY11-4,2282.25,2,172.004,265.695,2.67,21.35,12.29,12.825,4.705
JY11-4,2285.625,3,149.637,234.968,2.537,15.582,29.145,31.02,3.245
JY11-4,2285.75,3,148.424,227.431,2.583,13.348,43.078,45.572,3.247
JY11-4,2285.875,3,146.667,226.966,2.601,12.961,55.773,58.799,3.274
JY11-4,2286,3,143.487,222.629,2.604,13.108,65.864,69.384,3.314
JY11-4,2286.125,3,137.622,213.431,2.609,13.097,76,80.156,3.313
JY11-4,2286.25,3,127.198,203.654,2.627,12.414,89.932,95.019,3.175
JY11-4,2286.375,3,113.507,194.178,2.653,11.038,109.409,115.739,2.924
JY11-4,2286.5,3,99.762,186.974,2.677,9.485,133.017,140.338,2.738
JY11-4,2286.625,3,91.232,186.189,2.689,8.566,152.131,159.453,2.687
JY11-4,2286.75,3,89.517,193.297,2.688,8.537,155.964,162.103,2.684
JY11-4,2287.625,2,149.485,266.861,2.621,20.58,29.902,30.674,4.238
JY11-4,2288.75,2,175.295,266.702,2.647,19.284,24.075,24.493,4.356
JY11-4,2289,2,173.896,266.398,2.659,19.753,14.191,14.264,4.19
JY11-4,2289.125,2,173.91,265.489,2.655,19.522,11.046,11.281,4.153
JY11-4,2289.625,2,188.559,244.51,2.639,15.989,22.056,23.189,3.929
JY11-4,2290.5,2,230.905,267.009,2.616,18.577,33.018,34.107,3.892
JY11-4,2291.375,2,192.676,276.221,2.671,19.713,17.462,17.985,4.296
JY11-4,2291.625,2,196.519,281.65,2.64,21.324,18.682,18.566,4.534
JY11-4,2292.5,2,198.884,289.937,2.624,22.509,10.426,10.93,5.018
JY11-4,2292.625,2,199.276,290.707,2.617,22.3,11.939,12.555,4.95
JY11-4,2293.75,2,202.439,289.176,2.616,20.158,20.869,21.616,4.426
JY11-4,2293.875,2,205.146,287.485,2.617,20.53,21.319,22.089,4.349
JY11-4,2294.5,2,183.352,274.199,2.653,18.084,21.523,20.882,3.853
JY11-4,2295.125,2,184.55,275.827,2.657,18.268,15.696,14.931,3.846
JY11-4,2295.25,2,207.038,292.488,2.625,20.414,12.123,12.88,4.209
JY11-4,2295.875,2,191.198,288.088,2.627,19.86,27.377,27.595,4.185
JY11-4,2296,2,196.747,288.147,2.644,19.934,23.985,24.018,3.901
JY11-4,2300.875,1,148.899,233.436,2.625,14.35,53.286,55.182,3.702
JY11-4,2301,1,148.456,232.837,2.629,14.037,53.723,55.741,3.784
JY11-4,2301.125,1,149.76,241.222,2.647,14.143,52.761,54.761,3.734
JY11-4,2301.625,1,149.311,241.346,2.648,14.308,51.827,53.794,3.722
JY11-4,2301.75,1,148.926,240.264,2.649,14.43,51.32,53.245,3.706
JY11-4,2301.875,1,153.795,238.648,2.647,14.365,48.576,50.225,3.803
JY11-4,2304.75,1,156.749,245.55,2.619,13.992,51.034,52.986,3.665
JY11-4,2304.875,1,159.43,245.025,2.619,13.721,51.394,53.416,3.643
JY11-4,2305,1,161.593,243.657,2.623,13.681,52.022,54.177,3.632
JY11-4,2307,2,149.198,233.557,2.652,13.066,61.903,64.865,3.408
JY11-4,2307.125,2,151.132,234.067,2.652,12.892,63.061,65.917,3.254
JY11-4,2307.625,2,167.077,242.35,2.634,14.106,56.342,58.708,2.966
JY11-4,2309.25,1,162.393,247.679,2.607,14.056,50.937,54.186,3.746
JY11-4,2310.125,2,214.533,249.866,2.645,16.975,11.049,11.674,3.773
JY11-4,2310.75,2,223.144,246.406,2.649,16.799,12.189,13.222,3.738
JY11-4,2311.875,2,178.363,238.04,2.628,14.698,20.81,22.109,3.128
JY11-4,2312.375,1,179.257,236.032,2.629,14.196,25.767,27.234,3.288
JY11-4,2312.625,1,172.866,234.067,2.627,14.063,36.777,38.059,3.465
JY11-4,2313.5,1,169.885,234.033,2.619,14.239,40.952,41.982,3.469
JY11-4,2313.625,1,163.122,245.269,2.62,16.123,28.942,27.965,2.742
JY11-4,2313.75,1,164.722,245.513,2.631,15.756,19.414,18.653,2.803
JY11-4,2316.75,1,160.856,237.507,2.627,13.713,19.799,20.645,3.444
JY11-4,2316.875,1,162.622,236.828,2.63,13.499,26.301,27.639,3.313
JY11-4,2317,1,157.995,243.378,2.641,13.744,55.158,57.104,3.424
JY11-4,2317.75,1,160.327,243.024,2.633,13.831,52.893,54.944,3.453
JY11-4,2317.875,1,162.228,240.052,2.628,13.865,50.316,52.512,3.471
JY11-4,2318,1,169.966,260.624,2.613,15.14,40.383,41.802,3.599
JY11-4,2318.75,1,167.504,263.382,2.613,14.763,41.565,42.776,3.597
JY11-4,2318.875,1,166.597,266.186,2.615,14.536,39.629,40.422,3.642
JY11-4,2320.875,2,171.81,270.648,2.603,16.687,43.757,45.362,3.158
JY11-4,2321,2,169.281,269.024,2.602,16.896,47.789,49.296,3.055
JY11-4,2322.375,1,167.894,266.695,2.602,15.444,42.872,43.814,3.365
JY11-4,2322.5,1,168.561,267.001,2.599,15.605,38.809,39.749,3.493
JY11-4,2322.625,1,169.127,267.728,2.618,15.026,48.329,50.381,3.696
JY11-4,2323.875,1,168.774,267.358,2.609,14.724,49.987,52.186,3.635
JY11-4,2324,1,166.464,266.161,2.598,14.697,52.285,54.659,3.559
JY11-4,2324.125,1,163.085,263.835,2.591,15.265,54.832,57.323,3.313
JY11-4,2327,1,163.1,262.497,2.614,15.213,56.227,60.3,2.462
JY11-4,2327.125,1,162.834,262.397,2.613,15.412,58.156,62.6,2.578
JY11-4,2327.25,1,165.279,262.636,2.593,15.197,58.955,63.852,2.872
JY11-4,2328.125,1,166.6,262.389,2.584,14.898,59.078,64.111,2.901
JY11-4,2328.25,1,167.408,261.522,2.577,14.722,59.758,64.965,2.876
JY11-4,2328.375,1,175.077,263.683,2.571,14.491,57.561,63.174,2.695
JY11-4,2329.875,1,184.478,253.087,2.585,12.73,31.779,32.445,2.525
JY11-4,2330,1,194.863,254.481,2.585,12.851,23.734,23.755,2.617
JY11-4,2332.625,1,188.826,253.416,2.617,15.58,28.461,29.684,3.648
JY11-4,2332.75,1,179.002,243.366,2.616,13.79,41.667,43.349,3.408
JY11-4,2333.375,1,177.646,242.935,2.619,13.552,43.69,45.15,3.318
JY11-4,2333.5,1,178.672,244.103,2.619,13.493,42.881,44.086,3.24
JY11-4,2333.625,1,179.444,240.697,2.617,12.662,49.075,51.63,2.824
JY11-4,2334.375,1,182.431,239.975,2.617,12.839,50.94,53.735,2.822
JY11-4,2334.5,1,182.045,239.408,2.617,12.946,51.198,54.219,2.832
JY11-4,2336.5,1,170.419,240.527,2.586,11.811,41.008,43.707,2.706
JY11-4,2336.625,1,172.534,239.605,2.583,11.853,38.809,41.292,2.764
JY11-4,2336.75,1,198.556,253.737,2.617,14.963,20.998,22.306,3.318
JY11-4,2337.125,1,197.41,253.592,2.614,14.562,23.697,25.396,3.133
JY11-4,2337.25,1,192.841,251.304,2.611,13.773,28.091,30.067,2.881
JY11-4,2337.375,1,187.372,242.073,2.595,11.966,57.087,61.953,2.318
JY11-4,2339.625,1,200.515,251.951,2.569,12.163,64.857,69.131,2.698
JY11-4,2339.75,1,200.661,251.757,2.567,12.303,70.815,75.322,2.717
JY11-4,2339.875,1,203.276,256.572,2.572,12.264,29.508,31.547,2.795
JY11-4,2341.25,1,202.268,255.609,2.569,12.144,36.037,38.781,2.799
JY11-4,2341.375,1,198.601,254.336,2.567,12.315,44.653,47.934,2.788
JY11-4,2341.5,1,192.571,252.486,2.561,13.719,51.557,55.041,2.733
