Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS,LLD,K
JY56-z1,2864.75,2,186.334,239.097,2.729,19.99,37.771,40.147,4.103
JY56-z1,2865,2,183.139,237.273,2.724,18.82,38.364,40.527,4.004
JY56-z1,2865.375,2,180.382,236.383,2.714,17.588,39.994,41.903,3.639
JY56-z1,2865.5,2,178.409,237.074,2.71,17.545,40.82,42.634,3.451
JY56-z1,2865.625,2,178.192,238.154,2.703,17.407,41.743,43.441,3.251
JY56-z1,2866.5,3,133.628,214.84,2.744,11.741,90.943,92.315,2.309
JY56-z1,2866.75,3,104.356,202.746,2.762,10.043,152.793,153.105,1.983
JY56-z1,2867.125,3,115.596,213.184,2.684,11.452,163.46,165.635,2.912
JY56-z1,2868,2,198.527,264.848,2.688,19.396,30.062,31.167,4.412
JY56-z1,2868.25,2,202.489,264.334,2.702,18.806,27.772,29.357,4.58
JY56-z1,2868.625,2,198.02,262.39,2.706,19.351,29.079,31.277,4.362
JY56-z1,2868.75,2,199.364,261.685,2.701,18.796,29.802,32.065,4.22
JY56-z1,2869,2,203.933,261.522,2.695,18.61,27.495,29.752,4.004
JY56-z1,2869.25,2,200.315,263.08,2.689,19.113,24.408,26.775,3.789
JY56-z1,2869.375,2,199.042,263.997,2.688,19.239,24.848,27.378,3.685
JY56-z1,2869.5,2,200.104,264.448,2.689,19.268,26.862,29.631,3.616
JY56-z1,2869.75,2,203.809,263.232,2.699,19.294,33.652,37.154,3.628
JY56-z1,2869.875,2,202.465,261.771,2.701,19.179,36.891,40.824,3.699
JY56-z1,2870,2,198.784,259.954,2.698,18.719,39.25,43.555,3.791
JY56-z1,2870.25,2,193.824,256.697,2.691,17.834,42.147,46.842,4.013
JY56-z1,2870.375,2,194.304,256.262,2.695,17.845,43.342,48.033,4.099
JY56-z1,2870.625,2,195.741,259.285,2.695,17.786,43.948,48.303,4.089
JY56-z1,2870.875,2,199.771,265.331,2.681,17.16,42.177,46.044,3.962
JY56-z1,2871,2,204.394,268.315,2.682,16.989,40.938,44.588,3.889
JY56-z1,2871.25,2,211.455,271.449,2.673,17.146,38.432,41.798,3.759
JY56-z1,2871.5,2,226.782,268.876,2.647,17.3,37.647,41.035,3.655
JY56-z1,2871.75,2,224.608,260.144,2.634,16.958,38.661,42.398,3.604
JY56-z1,2874.125,2,187.071,242.143,2.665,14.255,48.152,53.313,3.02
JY56-z1,2874.25,2,186.125,243.295,2.663,14.587,44.782,48.761,2.901
JY56-z1,2874.375,2,185.95,244.358,2.663,14.769,37.12,39.834,2.808
JY56-z1,2874.5,2,185.556,244.924,2.663,14.742,26.459,28.239,2.748
JY56-z1,2874.625,2,185.417,245.329,2.663,14.632,17.044,18.336,2.737
JY56-z1,2874.75,2,186.492,245.699,2.663,14.571,11.899,13.082,2.766
JY56-z1,2876.5,2,180.435,234.906,2.68,13.971,70.002,81.066,3.246
JY56-z1,2876.625,2,173.312,234.057,2.687,14.009,72.361,84.404,3.302
JY56-z1,2876.75,2,164.72,233.544,2.686,14.231,75.651,88.785,3.348
JY56-z1,2877.75,1,185.464,239.757,2.648,14.306,65.972,77.531,3.828
JY56-z1,2877.875,1,189.524,239.646,2.642,14.393,60.21,70.78,3.965
JY56-z1,2878,1,189.772,239.903,2.64,14.259,54.73,64.446,4.05
JY56-z1,2886.75,2,190.201,272.27,2.623,16.442,10.379,12.579,2.905
JY56-z1,2887,2,190.751,271.908,2.622,15.844,35.838,42.573,2.813
JY56-z1,2889,1,189.27,267.933,2.622,14.504,74.522,89.025,2.823
JY56-z1,2890,1,180.871,267.685,2.613,12.646,60.419,73.015,3.275
JY56-z1,2890.125,1,183.39,268.104,2.609,12.606,61.562,75.055,3.215
JY56-z1,2891.25,1,185.304,265.625,2.615,15.554,84.657,106.589,2.748
JY56-z1,2892.125,1,190.088,262.345,2.584,13.657,76.235,95.962,2.785
JY56-z1,2892.25,1,191.606,262.193,2.576,13.148,76.551,96.508,2.815
JY56-z1,2892.375,1,192.134,262.406,2.574,12.774,78.016,98.368,2.793
JY56-z1,2894.125,1,201.937,256.577,2.578,13.688,88.086,108.003,2.983
JY56-z1,2896.625,1,211.022,252.492,2.624,13.748,53.92,64.637,2.756
JY56-z1,2897.625,2,203.683,245.696,2.63,12.403,79.421,93.981,2.639
JY56-z1,2898.5,2,213.344,247.116,2.627,12.765,92.281,109.969,2.374
JY56-z1,2898.625,2,209.516,248.093,2.627,12.485,99.248,118.631,2.35
JY56-z1,2901.125,1,207.358,251.644,2.592,11.314,32.996,41.97,3.103
JY56-z1,2902.125,1,185.318,245.169,2.579,12.166,90.739,115.008,2.694
JY56-z1,2902.25,1,187.379,246.973,2.579,12.168,95.171,119.828,2.701
JY56-z1,2902.375,1,191.92,250.404,2.581,12.569,92.557,115.589,2.738
JY56-z1,2903,1,221.162,256.914,2.587,11.829,31.738,38.916,3.089
JY56-z1,2903.25,1,205.511,252.369,2.611,11.245,57.322,69.025,3.152
JY11-4,2269.875,2,162.662,234.889,2.69,19.523,23.192,23.647,4.515
JY11-4,2270.75,2,164.481,234.086,2.671,20.6,23.561,25.479,4.497
JY11-4,2271.75,2,162.644,243.424,2.695,21.108,22.25,25.018,4.49
JY11-4,2271.875,2,163.555,244.89,2.693,21.255,23.209,26.017,4.47
JY11-4,2272.5,2,164.061,251.363,2.696,22.318,22.247,24.652,4.456
JY11-4,2272.625,2,162.007,249.104,2.708,22.32,22.248,24.606,4.565
JY11-4,2272.75,2,162.149,246.529,2.722,21.224,22.396,24.712,4.687
JY11-4,2274.375,2,171.291,261.533,2.699,21.605,20.311,22.246,4.034
JY11-4,2274.5,2,170.148,262.113,2.699,22.122,21.864,23.669,3.968
JY11-4,2274.625,2,170.607,262.844,2.693,22.436,22.453,24.089,3.972
JY11-4,2275.625,2,177.384,261.546,2.685,21.637,5.475,6.139,5.295
JY11-4,2275.75,2,176.996,261.43,2.684,22.007,7.449,8.5,5.314
JY11-4,2275.875,2,174.653,261.158,2.681,22.379,11.381,12.833,5.247
JY11-4,2276.375,2,170.457,266.26,2.688,22.221,20.946,22.573,4.599
JY11-4,2276.5,2,171.153,268.807,2.692,22.523,20.948,22.584,4.533
JY11-4,2276.625,2,172.41,270.942,2.691,22.748,21.114,22.777,4.508
JY11-4,2277.5,2,169.888,269.331,2.682,21.296,22.444,24.406,4.784
JY11-4,2277.625,2,167.773,263.57,2.687,21.134,22.756,24.707,4.63
JY11-4,2277.75,2,164.226,257.785,2.699,20.847,22.75,24.646,4.456
JY11-4,2278.5,2,168.896,270.651,2.696,21.968,20.855,23.012,4.402
JY11-4,2278.625,2,168.164,270.273,2.691,21.767,21.169,23.436,4.519
JY11-4,2278.75,2,166.007,269.669,2.688,21.052,21.481,23.804,4.615
JY11-4,2279.75,2,165.103,264.721,2.668,21.02,17.703,19.697,4.294
JY11-4,2279.875,2,165.631,263.647,2.669,21.14,19.186,21.188,4.292
JY11-4,2280,2,164.353,262.851,2.672,21.345,19.967,21.817,4.276
JY11-4,2281,2,170.103,265.786,2.668,19.88,20.51,21.945,3.992
JY11-4,2281.125,2,172.508,267.673,2.665,20.295,18.11,19.192,3.969
JY11-4,2281.25,2,175.654,269.241,2.659,20.804,14.877,15.799,3.922
JY11-4,2282,2,173.175,266.983,2.661,21.573,12.776,13.6,4.302
JY11-4,2282.125,2,171.665,266.275,2.665,21.69,12.922,13.604,4.54
JY11-4,2282.25,2,172.004,265.695,2.67,21.35,12.29,12.825,4.705
JY11-4,2285.625,3,149.637,234.968,2.537,15.582,29.145,31.02,3.245
JY11-4,2285.75,3,148.424,227.431,2.583,13.348,43.078,45.572,3.247
JY11-4,2285.875,3,146.667,226.966,2.601,12.961,55.773,58.799,3.274
JY11-4,2286,3,143.487,222.629,2.604,13.108,65.864,69.384,3.314
JY11-4,2286.125,3,137.622,213.431,2.609,13.097,76,80.156,3.313
JY11-4,2286.25,3,127.198,203.654,2.627,12.414,89.932,95.019,3.175
JY11-4,2288.75,2,175.295,266.702,2.647,19.284,24.075,24.493,4.356
JY11-4,2289,2,173.896,266.398,2.659,19.753,14.191,14.264,4.19
JY11-4,2289.125,2,173.91,265.489,2.655,19.522,11.046,11.281,4.153
JY11-4,2289.25,2,174.92,264.535,2.649,19.184,9.653,10.069,4.149
JY11-4,2289.375,2,176.34,263.425,2.643,18.801,9.998,10.59,4.15
JY11-4,2290.5,2,230.905,267.009,2.616,18.577,33.018,34.107,3.892
JY11-4,2290.75,1,226.221,259.268,2.604,17.179,33.315,34.364,3.744
JY11-4,2291,2,194.391,240.299,2.646,13.575,54.829,55.874,2.585
JY11-4,2291.125,2,198.053,241.618,2.65,14.257,50.163,50.626,2.698
JY11-4,2291.375,2,192.676,276.221,2.671,19.713,17.462,17.985,4.296
JY11-4,2291.625,2,196.519,281.65,2.64,21.324,18.682,18.566,4.534
JY11-4,2292.5,2,198.884,289.937,2.624,22.509,10.426,10.93,5.018
JY11-4,2292.625,2,199.276,290.707,2.617,22.3,11.939,12.555,4.95
JY11-4,2293.75,2,202.439,289.176,2.616,20.158,20.869,21.616,4.426
JY11-4,2293.875,2,205.146,287.485,2.617,20.53,21.319,22.089,4.349
JY11-4,2294.5,2,183.352,274.199,2.653,18.084,21.523,20.882,3.853
JY11-4,2295.125,2,184.55,275.827,2.657,18.268,15.696,14.931,3.846
JY11-4,2295.25,2,207.038,292.488,2.625,20.414,12.123,12.88,4.209
JY11-4,2295.875,2,191.198,288.088,2.627,19.86,27.377,27.595,4.185
JY11-4,2296,2,196.747,288.147,2.644,19.934,23.985,24.018,3.901
JY11-4,2300.875,1,148.899,233.436,2.625,14.35,53.286,55.182,3.702
JY11-4,2301,1,148.456,232.837,2.629,14.037,53.723,55.741,3.784
JY11-4,2301.125,1,149.76,241.222,2.647,14.143,52.761,54.761,3.734
JY11-4,2301.625,1,149.311,241.346,2.648,14.308,51.827,53.794,3.722
JY11-4,2301.75,1,148.926,240.264,2.649,14.43,51.32,53.245,3.706
JY11-4,2301.875,1,153.795,238.648,2.647,14.365,48.576,50.225,3.803
JY11-4,2304.75,1,156.749,245.55,2.619,13.992,51.034,52.986,3.665
JY11-4,2304.875,1,159.43,245.025,2.619,13.721,51.394,53.416,3.643
JY11-4,2305,1,161.593,243.657,2.623,13.681,52.022,54.177,3.632
JY11-4,2307.5,2,166.481,241.32,2.636,13.968,57.941,60.335,3.002
JY11-4,2307.625,2,167.077,242.35,2.634,14.106,56.342,58.708,2.966
JY11-4,2307.75,2,166.698,242.633,2.634,13.897,55.546,57.868,2.971
JY11-4,2308.375,2,152.562,236.069,2.635,13.681,54.838,57.383,2.973
JY11-4,2308.5,2,154.054,238.551,2.635,13.795,53.11,55.676,3.085
JY11-4,2309.25,1,162.393,247.679,2.607,14.056,50.937,54.186,3.746
JY11-4,2311.625,2,173.461,240.528,2.632,15.227,18.869,19.601,3.052
JY11-4,2311.75,2,175.602,239.085,2.63,15.17,18.104,19.136,3.043
JY11-4,2311.875,2,178.363,238.04,2.628,14.698,20.81,22.109,3.128
JY11-4,2313.625,1,163.122,245.269,2.62,16.123,28.942,27.965,2.742
JY11-4,2313.75,1,164.722,245.513,2.631,15.756,19.414,18.653,2.803
JY11-4,2316.75,1,160.856,237.507,2.627,13.713,19.799,20.645,3.444
JY11-4,2316.875,1,162.622,236.828,2.63,13.499,26.301,27.639,3.313
JY11-4,2317,1,157.995,243.378,2.641,13.744,55.158,57.104,3.424
JY11-4,2317.75,1,160.327,243.024,2.633,13.831,52.893,54.944,3.453
JY11-4,2317.875,1,162.228,240.052,2.628,13.865,50.316,52.512,3.471
JY11-4,2318,1,169.966,260.624,2.613,15.14,40.383,41.802,3.599
JY11-4,2318.75,1,167.504,263.382,2.613,14.763,41.565,42.776,3.597
JY11-4,2318.875,1,166.597,266.186,2.615,14.536,39.629,40.422,3.642
JY11-4,2319,1,178.419,270.606,2.616,15.748,22.04,22.604,3.826
JY11-4,2319.625,1,180.344,270.149,2.608,15.96,22.133,22.83,3.751
JY11-4,2319.75,1,177.43,268.891,2.602,15.859,23.445,24.236,3.639
JY11-4,2319.875,1,172.414,271.85,2.605,16.072,36.761,38.39,3.278
JY11-4,2321,2,169.281,269.024,2.602,16.896,47.789,49.296,3.055
JY11-4,2322.375,1,167.894,266.695,2.602,15.444,42.872,43.814,3.365
JY11-4,2322.5,1,168.561,267.001,2.599,15.605,38.809,39.749,3.493
JY11-4,2322.625,1,169.127,267.728,2.618,15.026,48.329,50.381,3.696
JY11-4,2323.875,1,168.774,267.358,2.609,14.724,49.987,52.186,3.635
JY11-4,2324,1,166.464,266.161,2.598,14.697,52.285,54.659,3.559
JY11-4,2324.125,1,163.085,263.835,2.591,15.265,54.832,57.323,3.313
JY11-4,2324.75,2,164.119,264.41,2.594,14.959,51.013,53.338,2.912
JY11-4,2326.25,2,164.123,263.51,2.596,14.721,49.996,53.146,2.486
JY11-4,2327.25,1,165.279,262.636,2.593,15.197,58.955,63.852,2.872
JY11-4,2328.125,1,166.6,262.389,2.584,14.898,59.078,64.111,2.901
JY11-4,2328.375,1,175.077,263.683,2.571,14.491,57.561,63.174,2.695
JY11-4,2329.875,1,184.478,253.087,2.585,12.73,31.779,32.445,2.525
JY11-4,2330,1,194.863,254.481,2.585,12.851,23.734,23.755,2.617
JY11-4,2330.125,1,206.087,271.189,2.603,16.521,22.412,23.866,3.502
JY11-4,2330.875,1,205.397,271.861,2.601,16.539,29.401,30.753,3.416
JY11-4,2331,1,207.143,272.663,2.598,16.576,32.207,33.276,3.29
JY11-4,2331.125,1,196.362,260.902,2.607,16.333,28.929,29.71,3.577
JY11-4,2332.5,1,192.422,257.624,2.613,16.053,27.793,28.719,3.64
JY11-4,2332.625,1,188.826,253.416,2.617,15.58,28.461,29.684,3.648
JY11-4,2332.75,1,179.002,243.366,2.616,13.79,41.667,43.349,3.408
JY11-4,2333.375,1,177.646,242.935,2.619,13.552,43.69,45.15,3.318
JY11-4,2333.5,1,178.672,244.103,2.619,13.493,42.881,44.086,3.24
JY11-4,2336.5,1,170.419,240.527,2.586,11.811,41.008,43.707,2.706
JY11-4,2336.625,1,172.534,239.605,2.583,11.853,38.809,41.292,2.764
JY11-4,2336.75,1,198.556,253.737,2.617,14.963,20.998,22.306,3.318
JY11-4,2337.125,1,197.41,253.592,2.614,14.562,23.697,25.396,3.133
JY11-4,2337.25,1,192.841,251.304,2.611,13.773,28.091,30.067,2.881
JY11-4,2337.375,1,187.372,242.073,2.595,11.966,57.087,61.953,2.318
JY11-4,2339.625,1,200.515,251.951,2.569,12.163,64.857,69.131,2.698
JY11-4,2339.75,1,200.661,251.757,2.567,12.303,70.815,75.322,2.717
JY11-4,2339.875,1,203.276,256.572,2.572,12.264,29.508,31.547,2.795
JY11-4,2341.25,1,202.268,255.609,2.569,12.144,36.037,38.781,2.799
JY11-4,2341.375,1,198.601,254.336,2.567,12.315,44.653,47.934,2.788
JY11-4,2341.5,1,192.571,252.486,2.561,13.719,51.557,55.041,2.733
JY11-4,2342.125,1,196.875,253.184,2.558,13.806,50.209,53.468,2.728
JY11-4,2342.25,1,201.49,254.494,2.557,13.43,47.999,50.771,2.745
JY11-4,2342.375,1,204.439,255.558,2.56,12.901,43.716,45.95,2.779
JY11-4,2343.125,1,204.158,255.435,2.563,12.552,38.409,40.307,2.815
JY11-4,2343.25,1,199.854,253.041,2.566,12.339,34.831,36.805,2.844
JY11-4,2343.375,1,191.476,248.557,2.569,11.965,34.969,37.44,2.838
JY11-4,2344.25,1,182.745,245.123,2.572,11.355,39.639,42.904,2.776
JY11-4,2344.375,1,177.904,244.055,2.576,10.909,46.609,50.536,2.682
JY11-4,2344.5,1,180.647,244.524,2.577,10.898,51.56,55.708,2.572
JY11-4,2345.375,1,189.015,246.284,2.578,11.27,51.84,55.787,2.389
JY11-4,2345.5,1,200.906,249.611,2.585,11.586,41.945,45.122,2.259
JY11-4,2345.625,1,196.245,248.016,2.591,11.429,39.857,42.869,2.439
JY11-4,2347.625,1,174.314,249.049,2.543,11.057,42.804,45.794,2.015
JY11-4,2347.75,1,175.692,247.99,2.544,10.924,39.105,42.145,2.045
JY11-4,2347.875,1,167.934,246.477,2.543,11.862,60.53,65.546,2.227
JY11-4,2348.5,1,171.757,245.444,2.531,11.41,60.197,64.608,2.2
JY11-4,2348.625,1,176.881,244.913,2.52,10.734,53.886,56.911,2.18
JY11-4,2348.75,1,197.305,245.833,2.505,9.876,13.949,15.203,2.066
JY11-4,2350.125,1,196.232,247.136,2.504,9.892,16.173,17.564,2.035
JY11-4,2350.25,1,196.303,249.751,2.507,10.266,18.933,20.668,1.993
JY11-4,2350.375,1,216.699,251.314,2.487,11.035,88.46,96.385,1.698
JY11-4,2351.125,1,218.656,252.587,2.491,11.216,80.486,87.231,1.693
JY11-4,2351.25,1,217.274,253.937,2.496,11.293,69.349,74.48,1.696
JY11-4,2352.5,1,195.852,257.657,2.524,12.77,11.656,12.511,1.908
JY11-4,2353.25,1,190.887,255.75,2.511,12.363,13.055,14.354,1.963
JY11-4,2353.375,1,183.363,250.557,2.503,11.274,18.899,20.739,2.013
JY11-4,2353.5,1,180.706,244.078,2.519,10.201,28.232,30.898,1.234
JY11-4,2354.375,1,177.142,245.377,2.508,9.425,33.329,36.746,1.167
JY11-4,2354.5,1,181.327,246.697,2.499,9.398,40.489,44.516,1.204
