Well Name,Depth,Facies,GR,AC,DEN,CNL,LLS,LLD,K
JY11-4,2270.75,2,164.481,234.086,2.671,20.6,23.561,25.479,4.497
JY11-4,2275.625,2,177.384,261.546,2.685,21.637,5.475,6.139,5.295
JY11-4,2275.75,2,176.996,261.43,2.684,22.007,7.449,8.5,5.314
JY11-4,2275.875,2,174.653,261.158,2.681,22.379,11.381,12.833,5.247
JY11-4,2292.5,2,198.884,289.937,2.624,22.509,10.426,10.93,5.018
JY41-5,2521.125,2,176.183,238.368,2.7,17.181,39.414,33.401,5.1
JY41-5,2521.25,2,177.935,238.672,2.702,17.483,38.281,32.521,5.232
JY41-5,2522.125,2,181.222,242.698,2.709,19.511,35.557,29.935,5.546
JY41-5,2522.25,2,184.508,243.803,2.704,19.379,29.618,24.775,5.512
JY41-5,2522.375,2,187.919,245.654,2.699,19.4,23.136,19.484,5.453
JY41-5,2524.25,2,186.462,254.463,2.701,20.818,34.942,30.101,5.18
JY41-5,2524.375,2,183.164,254.525,2.709,20.741,34.494,29.981,5.221
JY41-5,2524.5,2,182.628,254.347,2.72,20.658,34.154,29.949,5.185
JY41-5,2525.375,2,176.596,251.55,2.71,20.224,33.04,30.474,5.056
JY41-5,2526.25,2,180.339,254.521,2.731,20.893,24.605,23.192,5.089
JY41-5,2526.375,2,183.28,255.012,2.735,21.529,24.68,23.443,5.243
JY41-5,2527.125,2,181.617,255.457,2.72,20.906,31.366,29.803,5.445
JY41-5,2527.25,2,179.41,254.761,2.716,20.503,31.51,29.965,5.244
JY41-5,2527.375,2,177.695,253.873,2.715,20.45,31.055,29.561,5.05
JY41-5,2528,2,178.108,250.025,2.723,20.761,24.481,24.091,5.176
JY41-5,2528.125,2,175.971,249.991,2.719,20.25,26.513,26.104,5.269
JY41-5,2528.25,2,175.205,250.204,2.714,20.031,28.936,28.348,5.276
JY41-5,2531.5,2,184.536,252.677,2.715,21.433,30.845,29.403,5.147
JY41-5,2531.625,2,185.313,252.583,2.718,21.622,30.817,29.349,5.322
JY41-5,2532.375,2,181.358,253.602,2.726,20.768,30.6,29.105,5.551
JY41-5,2532.5,2,178.836,253.917,2.729,20.543,30.523,28.998,5.478
JY41-5,2532.625,2,177.019,254.249,2.732,19.989,30.435,28.873,5.503
JY41-5,2533.25,2,176.368,255.209,2.748,22.22,30.695,29.215,5.972
JY41-5,2533.375,2,178.819,255.004,2.746,21.306,29.364,27.738,5.909
JY41-5,2533.5,2,180.659,254.698,2.742,20.152,25.719,24.131,5.761
JY41-5,2534,2,187.24,253.679,2.742,20.76,15.809,15.461,5.168
JY41-5,2534.125,2,186.378,253.541,2.733,20.938,18.956,18.604,5.144
JY41-5,2534.25,2,183.233,253.293,2.724,20.942,23.895,23.251,5.182
