Well Name,…Ó∂»,GR,AC,DEN,CNL,LLS
JY4,2466.5,138.217,71.16,2.752,21.088,19.973
JY4,2466.625,139.992,71.984,2.752,21.401,19.877
JY4,2466.75,140.654,72.257,2.757,21.587,19.99
JY4,2466.875,139.976,72.176,2.767,21.487,20.126
JY4,2467,139.991,72.023,2.773,21.125,20.163
JY4,2467.125,141.617,71.93,2.775,20.816,20.053
JY4,2467.25,143.664,71.921,2.775,20.973,19.803
JY4,2467.375,144.746,72.058,2.775,21.745,19.474
JY4,2467.5,144.93,72.38,2.773,22.787,19.147
JY4,2467.625,144.982,72.765,2.767,23.315,18.907
JY4,2467.75,144.89,73.088,2.76,22.939,18.808
JY4,2467.875,144.414,73.309,2.755,21.973,18.859
JY4,2468,143.417,73.386,2.754,21.046,19.019
JY4,2468.125,141.956,73.296,2.753,20.623,19.191
JY4,2468.25,140.21,73.115,2.751,20.998,19.282
JY4,2468.375,138.818,72.955,2.749,21.99,19.244
JY4,2468.5,138.579,72.904,2.748,22.905,19.117
JY4,2468.625,139.641,72.94,2.746,22.955,18.991
JY4,2468.75,140.749,72.983,2.74,22.269,18.964
JY4,2468.875,140.585,72.967,2.733,21.492,19.056
JY4,2469,138.973,72.875,2.729,21.13,19.213
JY4,2469.125,137.106,72.73,2.731,21.15,19.342
JY4,2469.25,135.673,72.597,2.739,21.327,19.381
JY4,2469.375,135.01,72.534,2.749,21.586,19.296
JY4,2469.5,135.673,72.549,2.756,22.126,19.085
JY4,2469.625,137.493,72.651,2.757,23.017,18.769
JY4,2469.75,139.223,72.903,2.755,23.969,18.391
JY4,2469.875,140.106,73.268,2.751,24.517,18.031
JY4,2470,140.61,73.561,2.748,24.201,17.771
JY4,2470.125,141.974,73.741,2.746,23.206,17.686
JY4,2470.25,143.99,73.797,2.751,22.233,17.776
JY4,2470.375,145.278,73.622,2.759,21.948,17.975
JY4,2470.5,145.023,73.317,2.765,22.223,18.166
JY4,2470.625,143.554,73.182,2.765,22.627,18.263
JY4,2470.75,142.051,73.244,2.759,22.848,18.246
JY4,2470.875,141.713,73.381,2.756,22.794,18.166
JY4,2471,141.986,73.536,2.757,22.522,18.07
JY4,2471.125,141.339,73.624,2.762,22.394,17.965
JY4,2471.25,140.327,73.569,2.767,22.688,17.846
JY4,2471.375,140.525,73.486,2.769,23.25,17.714
JY4,2471.5,141.994,73.522,2.766,23.458,17.607
JY4,2471.625,143.412,73.651,2.76,23.175,17.594
JY4,2471.75,144.195,73.762,2.755,22.792,17.771
JY4,2471.875,145.219,73.81,2.756,22.55,18.208
JY4,2472,146.348,73.693,2.766,22.291,18.875
JY4,2472.125,145.851,73.297,2.779,21.832,19.675
JY4,2472.25,142.778,72.637,2.787,21.344,20.405
JY4,2472.375,138.231,71.985,2.782,21.063,20.874
JY4,2472.5,135.11,71.888,2.77,20.925,21.014
JY4,2472.625,135.42,72.501,2.759,20.712,20.974
JY4,2472.75,138.259,73.154,2.752,20.349,20.958
JY4,2472.875,140.908,73.464,2.746,20.113,21.153
JY4,2473,141.683,73.425,2.741,20.158,21.653
JY4,2473.125,140.684,72.69,2.738,20.298,22.455
JY4,2473.25,139.442,71.27,2.741,20.209,23.378
JY4,2473.375,139.47,69.879,2.745,19.763,24.124
JY4,2473.5,141.048,68.975,2.746,19.07,24.426
JY4,2473.625,142.917,68.599,2.742,18.407,24.222
JY4,2473.75,144.196,68.704,2.74,18.148,23.675
JY4,2473.875,145.772,69.116,2.74,18.604,23.019
JY4,2474,148.416,69.673,2.741,19.535,22.429
JY4,2474.125,150.85,70.216,2.739,20.37,21.951
JY4,2474.25,151.098,70.622,2.735,20.697,21.524
JY4,2474.375,149.64,70.87,2.733,20.843,21.04
JY4,2474.5,148.605,71.089,2.734,21.23,20.462
JY4,2474.625,149.578,71.451,2.736,21.728,19.897
JY4,2474.75,151.214,71.98,2.732,21.927,19.482
JY4,2474.875,151.244,72.469,2.725,21.686,19.27
JY4,2475,149.197,72.787,2.72,21.292,19.199
JY4,2475.125,146.519,72.981,2.72,20.939,19.175
JY4,2475.25,144.897,73.087,2.724,20.554,19.143
JY4,2475.375,144.563,73.086,2.725,20.084,19.094
JY4,2475.5,145.169,73.034,2.723,19.665,19.046
JY4,2475.625,147.01,73,2.72,19.566,19.02
JY4,2475.75,149.421,72.977,2.718,19.772,19.023
JY4,2475.875,150.582,72.978,2.716,19.922,19.05
JY4,2476,149.145,73.036,2.709,19.801,19.078
JY4,2476.125,146.519,73.128,2.699,19.765,19.055
JY4,2476.25,145.016,73.357,2.69,20.319,18.931
JY4,2476.375,145.17,73.808,2.688,21.441,18.697
JY4,2476.5,145.673,74.228,2.696,22.516,18.395
JY4,2476.625,145.46,74.455,2.711,22.93,18.069
JY4,2476.75,144.904,74.566,2.725,22.733,17.782
JY4,2476.875,144.547,74.408,2.732,22.24,17.606
JY4,2477,144.102,73.98,2.732,21.419,17.622
JY4,2477.125,143.094,73.585,2.731,20.181,17.863
JY4,2477.25,141.839,73.297,2.73,19.126,18.296
JY4,2477.375,141.331,72.967,2.729,18.954,18.856
JY4,2477.5,141.545,72.58,2.728,19.508,19.454
JY4,2477.625,141.599,72.193,2.726,19.981,20.007
JY4,2477.75,141.845,71.793,2.721,19.823,20.412
JY4,2477.875,143.121,71.365,2.718,19.409,20.609
JY4,2478,145.217,71.079,2.718,19.322,20.623
JY4,2478.125,147.289,71.095,2.722,19.642,20.563
JY4,2478.25,149.055,71.286,2.726,20.126,20.515
JY4,2478.375,150.637,71.459,2.733,20.471,20.495
JY4,2478.5,151.28,71.606,2.739,20.581,20.48
JY4,2478.625,150.178,71.757,2.744,20.58,20.446
JY4,2478.75,147.746,71.917,2.745,20.609,20.359
JY4,2478.875,144.644,72.154,2.742,20.608,20.21
JY4,2479,140.94,72.441,2.739,20.435,20.042
JY4,2479.125,137.248,72.644,2.741,20.206,19.928
JY4,2479.25,134.821,72.712,2.754,20.194,19.894
JY4,2479.375,134.625,72.604,2.77,20.448,19.907
JY4,2479.5,136.977,72.29,2.782,20.662,19.896
JY4,2479.625,141.593,72.004,2.786,20.601,19.802
JY4,2479.75,147.323,72.005,2.788,20.445,19.597
JY4,2479.875,151.177,72.242,2.791,20.585,19.308
JY4,2480,151.335,72.598,2.793,21.057,19
JY4,2480.125,149.014,73.016,2.792,21.508,18.729
JY4,2480.25,147.368,73.353,2.786,21.68,18.511
JY4,2480.375,148.196,73.551,2.78,21.684,18.336
JY4,2480.5,150.453,73.697,2.781,21.465,18.221
JY4,2480.625,151.32,73.812,2.789,20.878,18.197
JY4,2480.75,149.127,73.882,2.8,20.202,18.286
JY4,2480.875,145.127,73.924,2.809,19.882,18.488
JY4,2481,142.496,73.907,2.813,19.923,18.751
JY4,2481.125,142.925,73.778,2.806,20.001,19.003
JY4,2481.25,146.07,73.495,2.79,20.106,19.133
JY4,2481.375,151.289,73.057,2.768,20.481,19.035
JY4,2481.5,157.424,72.629,2.748,20.965,18.642
JY4,2481.625,161.547,72.357,2.741,21.213,18.06
JY4,2481.75,161.07,72.339,2.749,21.352,17.529
JY4,2481.875,155.962,72.533,2.764,21.724,17.316
JY4,2482,149.833,72.696,2.774,22.399,17.564
JY4,2482.125,145.996,72.647,2.767,22.993,18.23
JY4,2482.25,144.823,72.287,2.743,23.418,19.054
JY4,2482.375,144.25,71.733,2.709,24.078,19.628
JY4,2482.5,142.628,71.567,2.681,24.949,19.661
JY4,2482.625,139.369,72.137,2.672,25.125,19.184
JY4,2482.75,133.497,73.511,2.686,23.565,18.658
JY4,2482.875,123.389,75.485,2.714,20.319,18.826
JY4,2483,109.991,77.008,2.741,16.68,20.679
JY4,2483.125,98.15,76.389,2.756,13.612,24.854
JY4,2483.25,94.191,73.196,2.758,11.593,31.236
JY4,2483.375,100.745,68.149,2.749,10.652,37.846
JY4,2483.5,113.806,62.82,2.733,10.816,41.848
JY4,2483.625,124.786,59.173,2.715,12.065,41.314
JY4,2483.75,128.045,58.537,2.7,13.829,37.751
JY4,2483.875,124.625,60.328,2.695,14.94,34.288
JY4,2484,119.642,62.564,2.698,14.828,33.292
JY4,2484.125,116.916,63.612,2.697,14.266,34.379
JY4,2484.25,116.554,63.149,2.678,14.021,35.773
JY4,2484.375,115.644,62.266,2.644,14.392,36.284
JY4,2484.5,111.959,63.256,2.617,15.14,36.395
JY4,2484.625,106.971,66.729,2.617,15.56,37.232
