Well Name,Depth,Facies,GR,AC,DEN,CNL
JY56-z1,2850.5,1,181.624,219.336,2.733,18.596
JY56-z1,2850.625,1,175.532,214.466,2.731,17.52
JY56-z1,2850.75,1,167.215,208.01,2.728,15.923
JY56-z1,2850.875,1,156.31,203.385,2.724,13.959
JY56-z1,2851,1,142.783,198.718,2.719,12.011
JY56-z1,2851.125,1,129.831,193.254,2.715,10.32
JY56-z1,2851.25,1,121.653,195.31,2.71,9.064
JY56-z1,2851.375,1,117.821,201.337,2.707,8.318
JY56-z1,2851.5,1,117.349,207.898,2.704,8.196
JY56-z1,2851.625,1,120.561,212.349,2.703,8.712
JY56-z1,2851.75,1,128.202,218.369,2.701,9.75
JY56-z1,2851.875,1,138.768,223.733,2.699,11.119
JY56-z1,2852,1,148.658,227.805,2.698,12.36
JY56-z1,2855.5,1,123.936,221.486,2.693,10.65
JY56-z1,2855.625,1,138.077,227.815,2.702,12.138
JY56-z1,2855.75,1,157.527,231.036,2.712,13.92
JY56-z1,2855.875,1,173.599,233.573,2.718,15.053
JY56-z1,2856,1,179.531,235.512,2.718,15.016
JY56-z1,2857.125,1,143.246,230.967,2.643,9.648
JY56-z1,2857.25,1,115.554,223.34,2.634,7.268
JY56-z1,2857.375,1,97.285,211.666,2.633,5.576
JY56-z1,2857.5,1,88.442,198.533,2.631,4.67
JY56-z1,2857.625,1,85.757,193.633,2.625,4.498
JY56-z1,2857.75,1,89.945,197.679,2.618,5.15
JY56-z1,2857.875,1,102.954,203.097,2.608,6.589
JY56-z1,2858,1,122.538,208.713,2.591,8.419
JY56-z1,2858.125,1,138.085,212.239,2.571,9.659
JY56-z1,2858.25,1,139.593,212.103,2.567,9.006
JY56-z1,2858.375,1,125.024,208.472,2.588,6.895
JY56-z1,2858.5,1,102.122,201.853,2.621,4.737
JY56-z1,2858.625,1,80.944,193.841,2.65,3.321
JY56-z1,2858.75,1,66.77,187.124,2.663,2.659
JY56-z1,2858.875,1,60.311,181.812,2.659,2.568
JY56-z1,2859,1,59.364,178.297,2.645,2.705
JY56-z1,2859.125,1,61.256,177.375,2.631,2.925
JY56-z1,2859.25,1,63.627,178.562,2.619,3.173
JY56-z1,2859.375,1,65.753,179.888,2.609,3.405
JY56-z1,2859.5,1,67.127,181.135,2.6,3.543
JY56-z1,2859.625,1,67.825,183.455,2.594,3.6
JY56-z1,2859.75,1,68.768,185.42,2.593,3.693
JY56-z1,2859.875,1,71.49,185.05,2.595,3.894
JY56-z1,2860,1,74.991,184.353,2.598,4.105
JY56-z1,2860.125,1,76.854,183.379,2.6,4.226
JY56-z1,2860.25,1,75.214,182.324,2.599,4.249
JY56-z1,2860.375,1,71.643,182.024,2.598,4.245
JY56-z1,2860.5,1,68.575,182.954,2.594,4.197
JY56-z1,2860.625,1,67.023,184.847,2.59,4.028
JY56-z1,2860.75,1,66.567,186.284,2.587,3.777
JY56-z1,2860.875,1,67.285,187.117,2.587,3.597
JY56-z1,2861,1,70.205,186.848,2.59,3.594
JY56-z1,2861.125,1,76.12,185.703,2.594,3.685
JY56-z1,2861.25,1,83.49,183.614,2.594,3.762
JY56-z1,2861.375,1,88.732,181.525,2.593,3.763
JY56-z1,2861.5,1,90.112,179.966,2.593,3.704
JY56-z1,2861.625,1,88.34,179.193,2.595,3.611
JY56-z1,2861.75,1,84.858,178.65,2.597,3.493
JY56-z1,2861.875,1,80.392,178.679,2.598,3.309
JY56-z1,2862,1,76.703,179.268,2.601,2.977
JY56-z1,2862.125,1,75.041,179.477,2.605,2.585
JY56-z1,2862.25,1,76.065,179.46,2.609,2.247
JY56-z1,2862.375,1,79.989,178.184,2.61,2.004
JY56-z1,2862.5,1,86.574,176.232,2.607,1.811
JY56-z1,2862.625,1,94.253,175.248,2.603,1.716
JY56-z1,2862.75,1,100.602,174.808,2.599,1.922
JY56-z1,2862.875,1,105.836,177.415,2.601,2.631
JY56-z1,2863,1,113.16,189.253,2.613,4.107
JY56-z1,2863.125,1,124.666,202.101,2.641,6.482
JY56-z1,2864.75,4,186.334,239.097,2.729,19.99
JY56-z1,2865,4,183.139,237.273,2.724,18.82
JY56-z1,2865.375,4,180.382,236.383,2.714,17.588
JY56-z1,2865.5,4,178.409,237.074,2.71,17.545
