Well Name,Depth,GR,AC,DEN,CNL
JY8-2HF,2302.25,68.698,187.541,2.085,32.279
JY8-2HF,2302.375,67.844,187,2.086,32.935
JY8-2HF,2302.5,68.026,186.577,2.083,33.679
JY8-2HF,2302.625,68.298,186.289,2.075,32.699
JY8-2HF,2302.75,66.705,186.151,2.065,31.817
JY8-2HF,2302.875,64.668,186.178,2.059,31.838
JY8-2HF,2303,63.378,186.379,2.055,32.04
JY8-2HF,2303.125,62.917,186.756,2.055,32.459
JY8-2HF,2303.25,64.024,187.299,2.057,34.249
JY8-2HF,2303.375,66.562,187.988,2.082,31.381
JY8-2HF,2303.5,68.439,188.788,2.084,31.606
JY8-2HF,2303.625,68.676,189.656,2.085,32.292
JY8-2HF,2303.75,67.844,190.539,2.086,32.962
JY8-2HF,2303.875,68.067,191.384,2.082,33.653
JY8-2HF,2304,68.302,192.143,2.074,32.672
JY8-2HF,2304.125,66.652,192.773,2.065,31.794
JY8-2HF,2304.25,64.62,193.247,2.058,31.849
JY8-2HF,2304.375,63.69,193.55,2.055,32.039
JY8-2HF,2304.5,64.749,193.681,2.061,31.732
JY8-2HF,2304.625,67.205,193.649,2.086,30.876
JY8-2HF,2304.75,68.766,193.474,2.084,31.845
JY8-2HF,2304.875,68.481,193.176,2.086,32.413
JY8-2HF,2305,67.843,192.78,2.085,33.204
JY8-2HF,2305.125,68.198,192.307,2.08,33.411
JY8-2HF,2305.25,68.095,191.779,2.072,32.45
JY8-2HF,2305.375,66.169,191.212,2.063,31.579
JY8-2HF,2305.5,64.97,190.619,2.057,31.957
JY8-2HF,2305.625,66.096,190.014,2.074,31.318
JY8-2HF,2305.75,68.056,189.404,2.085,31.328
JY8-2HF,2305.875,68.905,188.8,2.084,32.153
JY8-2HF,2306,68.053,188.21,2.086,32.68
JY8-2HF,2306.125,67.843,187.641,2.084,33.662
JY8-2HF,2306.25,68.262,187.099,2.077,32.955
JY8-2HF,2306.375,67.483,186.591,2.068,32.045
JY8-2HF,2306.5,66.538,186.124,2.071,31.294
JY8-2HF,2306.625,67.616,185.703,2.086,31.022
JY8-2HF,2306.75,68.965,185.336,2.084,31.991
JY8-2HF,2306.875,68.361,185.03,2.086,32.486
JY8-2HF,2307,67.843,184.793,2.085,33.352
JY8-2HF,2307.125,67.986,184.633,2.079,33.263
JY8-2HF,2307.25,67.023,184.556,2.077,32.127
JY8-2HF,2307.375,67.353,184.568,2.086,30.929
JY8-2HF,2307.5,68.838,184.669,2.084,31.897
JY8-2HF,2307.625,68.437,184.857,2.086,32.439
JY8-2HF,2307.75,67.246,185.125,2.085,33.257
JY8-2HF,2307.875,66.448,185.459,2.085,32.702
JY8-2HF,2308,67.675,185.84,2.086,31.048
JY8-2HF,2308.125,68.986,186.244,2.084,32.012
JY8-2HF,2308.25,67.886,186.641,2.086,32.499
JY8-2HF,2308.375,67.043,187,2.086,31.448
JY8-2HF,2308.5,67.66,187.285,2.085,31.38
JY8-2HF,2308.625,66.876,187.466,2.084,31.663
JY8-2HF,2308.75,65.691,187.518,2.086,30.825
JY8-2HF,2308.875,66.943,187.425,2.086,30.825
JY8-2HF,2309,68.582,187.186,2.084,31.711
JY8-2HF,2309.125,68.589,186.817,2.085,32.346
JY8-2HF,2309.25,67.843,186.349,2.085,33.07
JY8-2HF,2309.375,68.179,185.829,2.082,33.547
JY8-2HF,2309.5,68.265,185.312,2.073,32.57
JY8-2HF,2309.625,66.44,184.859,2.064,31.699
JY8-2HF,2309.75,64.427,184.525,2.058,31.897
JY8-2HF,2309.875,63.3,184.352,2.055,32.032
JY8-2HF,2310,62.82,184.365,2.055,32.72
JY8-2HF,2310.125,62.372,184.565,2.057,34.25
JY8-2HF,2310.25,62.266,184.932,2.062,33.787
JY8-2HF,2310.375,62.959,185.428,2.064,33.458
JY8-2HF,2310.5,63.759,186.003,2.06,31.858
JY8-2HF,2310.625,64.13,186.605,2.047,31.098
JY8-2HF,2310.75,64.491,187.185,2.026,31.801
JY8-2HF,2310.875,64.285,187.709,2,32.931
JY8-2HF,2311,63.757,188.158,1.974,34.582
JY8-2HF,2311.125,63.518,188.528,1.956,34.777
JY8-2HF,2311.25,63.173,188.829,1.948,36.212
JY8-2HF,2311.375,63.04,189.075,1.95,36.995
JY8-2HF,2311.5,62.452,189.279,1.961,35.673
JY8-2HF,2311.625,61.898,189.449,1.976,34.948
JY8-2HF,2311.75,62.187,189.579,1.983,33.441
JY8-2HF,2311.875,62.9,189.653,1.979,33.806
JY8-2HF,2312,63.513,189.647,1.967,33.502
JY8-2HF,2312.125,62.902,189.534,1.952,32.486
JY8-2HF,2312.25,62.605,189.292,1.944,32.455
JY8-2HF,2312.375,63.095,188.908,1.949,32.561
JY8-2HF,2312.5,62.989,188.388,1.964,34.064
JY8-2HF,2312.625,62.603,187.753,1.981,33.947
JY8-2HF,2312.75,62.335,187.044,1.996,33.109
JY8-2HF,2312.875,63.421,186.315,2.008,32.587
JY8-2HF,2313,65.054,185.629,2.018,32.058
JY8-2HF,2313.125,65.677,185.052,2.03,32.332
JY8-2HF,2313.25,65.717,184.642,2.043,32.477
JY8-2HF,2313.375,65.776,184.448,2.056,32.658
JY8-2HF,2313.5,66.348,184.499,2.072,32.235
JY8-2HF,2313.625,66.939,184.805,2.09,30.717
JY8-2HF,2313.75,66.647,185.354,2.114,30.661
JY8-2HF,2313.875,66.08,186.109,2.135,30.57
JY8-2HF,2314,66.308,187.018,2.147,30.571
JY8-2HF,2314.125,67.192,188.016,2.149,30.467
JY8-2HF,2314.25,67.477,189.032,2.144,30.409
JY8-2HF,2314.375,67.396,189.997,2.137,31.053
JY8-2HF,2314.5,68.305,190.853,2.139,32.407
JY8-2HF,2314.625,69.426,191.557,2.149,32.334
JY8-2HF,2314.75,69.651,192.084,2.165,32.143
JY8-2HF,2314.875,69.272,192.428,2.181,31.621
JY8-2HF,2315,69.407,192.602,2.196,30.477
JY8-2HF,2315.125,68.486,192.628,2.208,30.675
JY8-2HF,2315.25,66.322,192.536,2.214,30.9
JY8-2HF,2315.375,65.265,192.361,2.214,31.436
JY8-2HF,2315.5,65.363,192.133,2.21,31.894
JY8-2HF,2315.625,65.93,191.878,2.201,32.17
JY8-2HF,2315.75,65.762,191.615,2.19,32.536
JY8-2HF,2315.875,66.476,191.359,2.184,32.984
JY8-2HF,2316,68.515,191.117,2.185,32.391
JY8-2HF,2316.125,69.621,190.895,2.189,31.811
JY8-2HF,2316.25,69.578,190.69,2.193,31.283
JY8-2HF,2316.375,68.669,190.499,2.196,30.74
JY8-2HF,2316.5,67.857,190.314,2.195,30.764
JY8-2HF,2316.625,67.472,190.121,2.189,30.816
JY8-2HF,2316.75,67.13,189.905,2.183,30.343
JY8-2HF,2316.875,67.031,189.649,2.178,30.197
JY8-2HF,2317,67.21,189.335,2.174,30.334
JY8-2HF,2317.125,67.448,188.95,2.175,30.076
JY8-2HF,2317.25,67.697,188.487,2.183,30.719
JY8-2HF,2317.375,67.33,187.948,2.203,30.033
JY8-2HF,2317.5,65.624,187.343,2.241,29.656
JY8-2HF,2317.625,63.121,186.698,2.29,29.711
JY8-2HF,2317.75,61.279,186.042,2.338,30.341
JY8-2HF,2317.875,60.324,185.415,2.364,32.497
JY8-2HF,2318,60.103,184.854,2.346,33.564
JY8-2HF,2318.125,60.474,184.395,2.3,34.458
JY8-2HF,2318.25,60.892,184.063,2.245,34.497
JY8-2HF,2318.375,61.991,183.875,2.196,33.764
JY8-2HF,2318.5,62.485,183.833,2.165,32.742
JY8-2HF,2318.625,62.56,183.927,2.146,30.988
JY8-2HF,2318.75,62.676,184.137,2.133,30.951
JY8-2HF,2318.875,62.457,184.438,2.123,30.777
JY8-2HF,2319,63.598,184.8,2.117,30.517
JY8-2HF,2319.125,65.776,185.196,2.118,30.599
JY8-2HF,2319.25,67.888,185.603,2.126,31.435
JY8-2HF,2319.375,69.294,186.004,2.136,30.495
JY8-2HF,2319.5,69.712,186.389,2.144,31.264
JY8-2HF,2319.625,69.151,186.755,2.152,30.562
JY8-2HF,2319.75,67.288,187.105,2.159,28.984
JY8-2HF,2319.875,64.716,187.443,2.167,28.486
JY8-2HF,2320,63.004,187.774,2.177,28.171
JY8-2HF,2320.125,62.425,188.102,2.187,28.242
JY8-2HF,2320.25,62.364,188.426,2.197,28.409
JY8-2HF,2320.375,63.009,188.739,2.207,28.786
JY8-2HF,2320.5,65.051,189.031,2.214,29.375
JY8-2HF,2320.625,67.221,189.285,2.218,29.954
JY8-2HF,2320.75,68.544,189.485,2.214,29.702
JY8-2HF,2320.875,69.714,189.616,2.206,29.512
JY8-2HF,2321,70.34,189.669,2.195,29.325
JY8-2HF,2321.125,69.787,189.642,2.186,29.356
JY8-2HF,2321.25,68.007,189.546,2.181,29.716
JY8-2HF,2321.375,65.986,189.4,2.181,29.857
JY8-2HF,2321.5,64.568,189.233,2.186,29.832
JY8-2HF,2321.625,63.396,189.078,2.193,30.448
JY8-2HF,2321.75,62.33,188.968,2.201,30.444
JY8-2HF,2321.875,62.541,188.927,2.208,29.84
JY8-2HF,2322,63.351,188.973,2.212,29.831
JY8-2HF,2322.125,63.833,189.106,2.212,28.713
JY8-2HF,2322.25,64.257,189.315,2.209,28.883
JY8-2HF,2322.375,64.557,189.572,2.203,29.056
JY8-2HF,2322.5,65.073,189.846,2.197,29.304
JY8-2HF,2322.625,65.05,190.097,2.193,29.681
JY8-2HF,2322.75,65.494,190.292,2.192,29.25
JY8-2HF,2322.875,66.563,190.4,2.199,29.313
JY8-2HF,2323,66.67,190.404,2.21,28.981
JY8-2HF,2323.125,66.048,190.297,2.221,28.978
JY8-2HF,2323.25,65.044,190.084,2.229,29.461
JY8-2HF,2323.375,64.531,189.78,2.231,30.154
JY8-2HF,2323.5,64.319,189.406,2.225,31.437
JY8-2HF,2323.625,64.204,188.982,2.217,32.224
JY8-2HF,2323.75,64.819,188.53,2.212,32.337
JY8-2HF,2323.875,65.865,188.066,2.211,31.639
JY8-2HF,2324,66.708,187.6,2.212,30.573
JY8-2HF,2324.125,67.491,187.135,2.213,30.503
JY8-2HF,2324.25,67.632,186.67,2.21,30.037
JY8-2HF,2324.375,66.601,186.203,2.204,30.593
JY8-2HF,2324.5,65.339,185.731,2.197,30.46
JY8-2HF,2324.625,64.384,185.252,2.193,29.658
JY8-2HF,2324.75,63.708,184.773,2.191,29.085
JY8-2HF,2324.875,63.179,184.302,2.194,28.505
JY8-2HF,2325,63.552,183.857,2.198,29.452
JY8-2HF,2325.125,65.042,183.456,2.203,30.539
JY8-2HF,2325.25,66.555,183.121,2.21,31.567
JY8-2HF,2325.375,67.064,182.872,2.217,32.127
JY8-2HF,2325.5,66.81,182.727,2.224,31.398
JY8-2HF,2325.625,66.459,182.697,2.228,31.64
JY8-2HF,2325.75,65.58,182.785,2.231,31.561
JY8-2HF,2325.875,64.291,182.985,2.232,31.749
JY8-2HF,2326,63.937,183.283,2.233,32.095
JY8-2HF,2326.125,65.451,183.659,2.234,32.238
JY8-2HF,2326.25,67.061,184.084,2.231,32.094
JY8-2HF,2326.375,67.279,184.53,2.223,32.276
JY8-2HF,2326.5,67.351,184.966,2.213,31.635
JY8-2HF,2326.625,68.087,185.364,2.206,31.187
JY8-2HF,2326.75,68.535,185.703,2.205,31.021
JY8-2HF,2326.875,67.968,185.97,2.21,30.087
JY8-2HF,2327,67.556,186.157,2.219,29.582
JY8-2HF,2327.125,68.108,186.266,2.227,29.648
JY8-2HF,2327.25,68.8,186.304,2.233,29.75
JY8-2HF,2327.375,68.56,186.281,2.238,29.829
JY8-2HF,2327.5,67.873,186.208,2.241,29.749
JY8-2HF,2327.625,67.327,186.096,2.244,28.701
JY8-2HF,2327.75,66.899,185.952,2.243,28.594
JY8-2HF,2327.875,67.054,185.779,2.235,29.374
JY8-2HF,2328,67.87,185.58,2.222,30.942
JY8-2HF,2328.125,68.81,185.359,2.209,32.381
JY8-2HF,2328.25,68.865,185.121,2.2,32.369
JY8-2HF,2328.375,68.059,184.876,2.208,31.608
JY8-2HF,2328.5,67.242,184.642,2.24,31.721
JY8-2HF,2328.625,66.172,184.443,2.294,31.572
JY8-2HF,2328.75,64.11,184.31,2.349,31.357
JY8-2HF,2328.875,61.258,184.275,2.383,31.228
JY8-2HF,2329,59.807,184.369,2.371,30.519
JY8-2HF,2329.125,60.457,184.616,2.305,32.043
JY8-2HF,2329.25,61.561,185.031,2.231,32.534
JY8-2HF,2329.375,62.458,185.614,2.176,33.127
JY8-2HF,2329.5,63.526,186.346,2.155,33.414
JY8-2HF,2329.625,65.701,187.197,2.169,32.38
JY8-2HF,2329.75,68.113,188.121,2.193,32.221
JY8-2HF,2329.875,69.146,189.065,2.208,32.081
JY8-2HF,2330,69.515,189.974,2.214,31.76
JY8-2HF,2330.125,70.627,190.795,2.215,31.833
JY8-2HF,2330.25,72.352,191.484,2.218,32.537
JY8-2HF,2330.375,73.566,192.011,2.224,33.335
JY8-2HF,2330.5,73.831,192.356,2.235,34.102
JY8-2HF,2330.625,73.682,192.513,2.248,33.553
JY8-2HF,2330.75,73.254,192.485,2.26,33.093
JY8-2HF,2330.875,71.873,192.285,2.267,32.882
JY8-2HF,2331,70.687,191.927,2.268,32.576
JY8-2HF,2331.125,70.109,191.433,2.257,32.669
JY8-2HF,2331.25,69.497,190.823,2.232,32.671
JY8-2HF,2331.375,69.063,190.121,2.203,32.565
JY8-2HF,2331.5,68.421,189.353,2.178,32.832
JY8-2HF,2331.625,67.385,188.547,2.165,33.185
JY8-2HF,2331.75,65.529,187.733,2.166,32.486
JY8-2HF,2331.875,63.77,186.943,2.175,33.354
JY8-2HF,2332,63.232,186.207,2.177,33.437
JY8-2HF,2332.125,63.643,185.551,2.172,33.248
JY8-2HF,2332.25,64.981,184.998,2.163,32.923
JY8-2HF,2332.375,67.657,184.561,2.162,32.586
JY8-2HF,2332.5,70.606,184.247,2.181,32.83
JY8-2HF,2332.625,72.879,184.051,2.22,32.745
JY8-2HF,2332.75,74.561,183.963,2.256,32.221
JY8-2HF,2332.875,75.204,183.962,2.279,31.47
JY8-2HF,2333,75.099,184.022,2.287,30.851
JY8-2HF,2333.125,75.14,184.112,2.283,30.739
JY8-2HF,2333.25,75.233,184.199,2.28,30.733
JY8-2HF,2333.375,75.336,184.252,2.284,30.514
JY8-2HF,2333.5,75.7,184.245,2.289,30.558
JY8-2HF,2333.625,75.632,184.16,2.292,31.227
JY8-2HF,2333.75,75.134,183.99,2.29,32.498
JY8-2HF,2333.875,74.599,183.739,2.287,33.563
JY8-2HF,2334,74.075,183.423,2.288,33.248
JY8-2HF,2334.125,73.368,183.069,2.289,32.751
JY8-2HF,2334.25,72.433,182.709,2.287,32.168
JY8-2HF,2334.375,71.828,182.375,2.279,31.81
JY8-2HF,2334.5,72.441,182.098,2.268,31.966
JY8-2HF,2334.625,72.624,181.897,2.26,31.394
JY8-2HF,2334.75,71.73,181.782,2.263,31.707
JY8-2HF,2334.875,71.32,181.751,2.273,31.429
JY8-2HF,2335,71.357,181.79,2.286,31.028
JY8-2HF,2335.125,71.764,181.882,2.294,30.99
JY8-2HF,2335.25,71.397,182.003,2.292,31.013
JY8-2HF,2335.375,70.987,182.137,2.274,32.456
JY8-2HF,2335.5,71.05,182.273,2.251,32.769
JY8-2HF,2335.625,69.856,182.409,2.227,32.284
JY8-2HF,2335.75,67.629,182.552,2.207,31.592
JY8-2HF,2335.875,66.176,182.721,2.194,31.254
JY8-2HF,2336,66.528,182.935,2.191,31.117
JY8-2HF,2336.125,67.358,183.214,2.203,30.704
JY8-2HF,2336.25,68.09,183.575,2.225,30.568
JY8-2HF,2336.375,69.496,184.026,2.251,30.817
JY8-2HF,2336.5,71.28,184.564,2.274,31.068
JY8-2HF,2336.625,70.915,185.179,2.287,30.466
JY8-2HF,2336.75,69.051,185.848,2.281,31.206
JY8-2HF,2336.875,68.008,186.548,2.266,31.006
JY8-2HF,2337,67.374,187.25,2.249,31.534
JY8-2HF,2337.125,67.055,187.928,2.236,32.282
JY8-2HF,2337.25,67.123,188.563,2.229,32.128
JY8-2HF,2337.375,68.237,189.141,2.231,31.513
JY8-2HF,2337.5,69.407,189.656,2.233,30.337
JY8-2HF,2337.625,69.247,190.111,2.228,29.94
JY8-2HF,2337.75,68.479,190.514,2.213,30.497
JY8-2HF,2337.875,68.188,190.883,2.19,31.593
JY8-2HF,2338,68.655,191.236,2.162,32.359
JY8-2HF,2338.125,68.924,191.595,2.139,32.203
JY8-2HF,2338.25,68.717,191.984,2.122,32.118
JY8-2HF,2338.375,68.579,192.422,2.108,32.154
JY8-2HF,2338.5,68.627,192.924,2.097,32.01
JY8-2HF,2338.625,68.574,193.499,2.088,31.631
JY8-2HF,2338.75,68.298,194.144,2.082,31.976
JY8-2HF,2338.875,67.872,194.845,2.081,31.683
JY8-2HF,2339,67.251,195.575,2.081,31.642
JY8-2HF,2339.125,66.761,196.294,2.079,31.539
JY8-2HF,2339.25,67.108,196.951,2.074,31.509
JY8-2HF,2339.375,67.767,197.492,2.064,32.059
JY8-2HF,2339.5,67.276,197.862,2.056,33.053
JY8-2HF,2339.625,66.192,198.019,2.054,33.415
JY8-2HF,2339.75,65.399,197.932,2.071,33.452
JY8-2HF,2339.875,64.348,197.597,2.1,33.727
JY8-2HF,2340,62.829,197.033,2.127,34.366
JY8-2HF,2340.125,61.479,196.282,2.14,34.429
JY8-2HF,2340.25,60.765,195.405,2.122,34.744
JY8-2HF,2340.375,60.649,194.472,2.092,35.61
JY8-2HF,2340.5,60.998,193.55,2.066,37.185
JY8-2HF,2340.625,61.468,192.693,2.054,38.049
JY8-2HF,2340.75,61.869,191.932,2.062,36.406
JY8-2HF,2340.875,62.667,191.273,2.071,34.361
JY8-2HF,2341,64.095,190.691,2.067,33.964
JY8-2HF,2341.125,65.456,190.14,2.054,34.952
