Well Name,Depth,Facies,GR,AC,DEN,CNL
JY11-4,2252.125,1,131.242,229.899,2.682,19.377
JY11-4,2252.375,1,99.377,206.779,2.676,9.741
JY11-4,2252.5,1,98.209,192.924,2.666,6.413
JY11-4,2252.625,1,102.866,187.758,2.655,5.178
JY11-4,2252.75,1,103.858,188.059,2.65,5.889
JY11-4,2252.875,1,96.011,186.762,2.65,7.578
JY11-4,2253.5,1,91.981,184.692,2.644,5.037
JY11-4,2253.625,1,97.823,188.307,2.641,6.261
JY11-4,2253.75,1,101.556,190.935,2.641,7.869
JY11-4,2253.875,1,103.668,193.752,2.643,9.147
JY11-4,2254,1,103.168,194.265,2.647,9.968
JY11-4,2254.125,1,100.926,192.839,2.65,10.166
JY11-4,2254.25,1,99.986,194.152,2.649,9.628
JY11-4,2255,1,79.855,186.602,2.631,6.601
JY11-4,2255.125,1,79.181,182.998,2.621,4.782
JY11-4,2255.25,1,80.43,181.274,2.614,3.858
JY11-4,2255.375,1,85.225,182.225,2.611,3.68
JY11-4,2255.5,1,96.691,191.798,2.613,4.138
JY11-4,2255.625,1,115.082,208.854,2.619,5.539
JY11-4,2255.75,1,131.424,224.409,2.629,8.43
JY11-4,2255.875,1,136.17,231.133,2.642,13.492
JY11-4,2256,1,124.485,229.295,2.653,18.713
JY11-4,2256.125,1,105.093,217.858,2.653,18.462
JY11-4,2256.25,1,87.226,201.19,2.637,12.043
JY11-4,2256.375,1,77.1,187.589,2.613,6.545
JY11-4,2256.5,1,73.577,182.959,2.595,3.626
JY11-4,2256.625,1,75.087,183.193,2.59,2.78
JY11-4,2256.75,1,81.11,185.263,2.596,2.96
JY11-4,2256.875,1,91.729,188.139,2.605,3.865
JY11-4,2257,1,107.123,192.85,2.611,5.45
JY11-4,2257.125,1,124.002,202.108,2.614,7.823
JY11-4,2257.25,1,137.271,213.685,2.617,11.445
JY11-4,2257.375,1,142.172,220.088,2.62,16.535
JY11-4,2257.5,1,139.292,220.458,2.622,21.474
JY11-4,2257.625,1,132.202,219.655,2.622,22.118
JY11-4,2257.875,1,112.639,204.316,2.63,12.366
JY11-4,2258,1,101.948,199.191,2.634,8.784
JY11-4,2258.125,1,94.431,196.903,2.635,6.484
JY11-4,2258.25,1,90.457,191.98,2.632,4.964
JY11-4,2258.375,1,88.139,188.737,2.631,4.158
JY11-4,2258.5,1,85.953,189.158,2.633,4.072
JY11-4,2258.625,1,84.202,188.997,2.638,4.561
JY11-4,2258.75,1,82.544,187.12,2.644,5.112
JY11-4,2258.875,1,80.163,185.324,2.65,5.225
JY11-4,2259,1,78.11,183.991,2.655,4.87
JY11-4,2259.125,1,78.157,184.253,2.658,4.574
JY11-4,2259.25,1,80.097,184.64,2.657,4.675
JY11-4,2259.375,1,83.282,183.201,2.649,5.091
JY11-4,2259.5,1,88.966,181.381,2.641,5.465
JY11-4,2259.625,1,96.921,182.475,2.639,5.801
JY11-4,2259.75,1,102.749,184.566,2.649,6.468
JY11-4,2259.875,1,99.56,184.798,2.665,7.419
JY11-4,2260,1,87.872,183.278,2.681,7.886
JY11-4,2260.125,1,72.961,179.953,2.693,7.131
JY11-4,2260.25,1,61.906,175.394,2.698,5.708
JY11-4,2260.375,1,56.331,174.03,2.697,4.484
JY11-4,2260.5,1,56.033,177.54,2.692,3.824
JY11-4,2260.625,1,58.805,182.922,2.682,3.595
JY11-4,2260.75,1,62.122,188.135,2.672,3.566
JY11-4,2260.875,1,64.706,194.746,2.663,3.488
JY11-4,2261,1,66.467,203.228,2.655,3.329
JY11-4,2261.125,1,67.268,209.632,2.647,3.22
JY11-4,2261.25,1,67.183,209.857,2.636,3.236
JY11-4,2261.375,1,66.982,206.245,2.627,3.31
JY11-4,2261.5,1,67.337,199.549,2.62,3.386
JY11-4,2265.125,4,157.848,220.712,2.722,21.219
