Well Name,Depth,Facies,GR,AC,DEN,LLS,LLD
JY11-4,2251,1,153.283,208.917,2.637,36.85,33.82
JY11-4,2252.125,1,131.242,229.899,2.682,51.297,52.338
JY11-4,2252.25,1,112.105,220.857,2.681,79.479,79.705
JY11-4,2252.375,1,99.377,206.779,2.676,107.584,105.885
JY11-4,2252.5,1,98.209,192.924,2.666,123.158,119.664
JY11-4,2252.625,1,102.866,187.758,2.655,125.878,121.821
JY11-4,2252.75,1,103.858,188.059,2.65,128.512,125.379
JY11-4,2252.875,1,96.011,186.762,2.65,148.829,146.424
JY11-4,2253.5,1,91.981,184.692,2.644,164.723,155.965
JY11-4,2253.625,1,97.823,188.307,2.641,133.042,126.241
JY11-4,2253.75,1,101.556,190.935,2.641,113.819,108.741
JY11-4,2253.875,1,103.668,193.752,2.643,106.326,102.019
JY11-4,2254,1,103.168,194.265,2.647,103.094,98.776
JY11-4,2254.125,1,100.926,192.839,2.65,97.537,93.282
JY11-4,2254.25,1,99.986,194.152,2.649,92.361,88.525
JY11-4,2255,1,79.855,186.602,2.631,571.954,549.602
JY11-4,2255.125,1,79.181,182.998,2.621,675.917,637.093
JY11-4,2255.25,1,80.43,181.274,2.614,606.046,559.45
JY11-4,2255.375,1,85.225,182.225,2.611,408.841,368.926
JY11-4,2255.5,1,96.691,191.798,2.613,202.776,179.536
JY11-4,2255.625,1,115.082,208.854,2.619,87.763,78.103
JY11-4,2255.75,1,131.424,224.409,2.629,50.664,47.203
JY11-4,2255.875,1,136.17,231.133,2.642,50.002,48.66
JY11-4,2256,1,124.485,229.295,2.653,76.383,77.002
JY11-4,2256.125,1,105.093,217.858,2.653,162.653,164.935
JY11-4,2256.25,1,87.226,201.19,2.637,345.046,344.347
JY11-4,2256.375,1,77.1,187.589,2.613,554.175,544.039
JY11-4,2256.5,1,73.577,182.959,2.595,679.104,656.112
JY11-4,2256.625,1,75.087,183.193,2.59,632.424,601.458
JY11-4,2256.75,1,81.11,185.263,2.596,469.431,439.137
JY11-4,2256.875,1,91.729,188.139,2.605,283.422,260.793
JY11-4,2257,1,107.123,192.85,2.611,148.261,134.656
