Well Name,Depth,Facies,GR,AC,DEN,CNL,Facies,Facies
JY11-4,2251,1,153.283,208.917,2.637,7.845,1,1
JY11-4,2252.125,1,131.242,229.899,2.682,19.377,1,1
JY11-4,2252.25,1,112.105,220.857,2.681,14.774,1,1
JY11-4,2252.375,1,99.377,206.779,2.676,9.741,1,1
JY11-4,2252.5,1,98.209,192.924,2.666,6.413,1,1
JY11-4,2252.625,1,102.866,187.758,2.655,5.178,1,1
JY11-4,2252.75,1,103.858,188.059,2.65,5.889,1,1
JY11-4,2252.875,1,96.011,186.762,2.65,7.578,1,1
JY11-4,2253.5,1,91.981,184.692,2.644,5.037,1,1
JY11-4,2253.625,1,97.823,188.307,2.641,6.261,1,1
JY11-4,2253.75,1,101.556,190.935,2.641,7.869,1,1
JY11-4,2253.875,1,103.668,193.752,2.643,9.147,1,1
JY11-4,2254,1,103.168,194.265,2.647,9.968,1,1
JY11-4,2254.125,1,100.926,192.839,2.65,10.166,1,1
JY11-4,2254.25,1,99.986,194.152,2.649,9.628,1,1
JY11-4,2255,1,79.855,186.602,2.631,6.601,1,1
JY11-4,2255.125,1,79.181,182.998,2.621,4.782,1,1
JY11-4,2255.25,1,80.43,181.274,2.614,3.858,1,1
JY11-4,2255.375,1,85.225,182.225,2.611,3.68,1,1
JY11-4,2255.5,1,96.691,191.798,2.613,4.138,1,1
JY11-4,2255.625,1,115.082,208.854,2.619,5.539,1,1
JY11-4,2255.75,1,131.424,224.409,2.629,8.43,1,1
JY11-4,2255.875,1,136.17,231.133,2.642,13.492,1,1
JY11-4,2256,1,124.485,229.295,2.653,18.713,1,1
JY11-4,2256.125,1,105.093,217.858,2.653,18.462,1,1
JY11-4,2256.25,1,87.226,201.19,2.637,12.043,1,1
JY11-4,2256.375,1,77.1,187.589,2.613,6.545,1,1
JY11-4,2256.5,1,73.577,182.959,2.595,3.626,1,1
JY11-4,2256.625,1,75.087,183.193,2.59,2.78,1,1
JY11-4,2256.75,1,81.11,185.263,2.596,2.96,1,1
JY11-4,2256.875,1,91.729,188.139,2.605,3.865,1,1
JY11-4,2257,1,107.123,192.85,2.611,5.45,1,1
JY11-4,2257.125,1,124.002,202.108,2.614,7.823,1,1
JY11-4,2257.25,1,137.271,213.685,2.617,11.445,1,1
JY11-4,2257.375,1,142.172,220.088,2.62,16.535,1,1
JY11-4,2257.5,1,139.292,220.458,2.622,21.474,1,1
JY11-4,2257.625,1,132.202,219.655,2.622,22.118,1,1
JY11-4,2257.75,1,123.149,214.159,2.625,17.654,1,1
JY11-4,2257.875,1,112.639,204.316,2.63,12.366,1,1
JY11-4,2258,1,101.948,199.191,2.634,8.784,1,1
JY11-4,2258.125,1,94.431,196.903,2.635,6.484,1,1
JY11-4,2258.25,1,90.457,191.98,2.632,4.964,1,1
JY11-4,2258.375,1,88.139,188.737,2.631,4.158,1,1
JY11-4,2258.5,1,85.953,189.158,2.633,4.072,1,1
JY11-4,2258.625,1,84.202,188.997,2.638,4.561,1,1
JY11-4,2258.75,1,82.544,187.12,2.644,5.112,1,1
JY11-4,2258.875,1,80.163,185.324,2.65,5.225,1,1
JY11-4,2259,1,78.11,183.991,2.655,4.87,1,1
JY11-4,2259.125,1,78.157,184.253,2.658,4.574,1,1
JY11-4,2259.25,1,80.097,184.64,2.657,4.675,1,1
JY11-4,2259.375,1,83.282,183.201,2.649,5.091,1,1
JY11-4,2259.5,1,88.966,181.381,2.641,5.465,1,1
